doi,oa_funder_id,oa_award_id
https://doi.org/10.1002/adfm.202413884,https://openalex.org/F4320321001,52377026
https://doi.org/10.1002/adfm.202413884,https://openalex.org/F4320321001,52302362
https://doi.org/10.1002/adfm.202413884,https://openalex.org/F4320321001,52274362
https://doi.org/10.1002/adfm.202413884,https://openalex.org/F4320321543,2024M751563
https://doi.org/10.1109/tnnls.2023.3336563,https://openalex.org/F4320321001,42371366
https://doi.org/10.1109/tnnls.2023.3336563,https://openalex.org/F4320335787,2042023kfyq04
https://doi.org/10.1016/j.esci.2024.100281,https://openalex.org/F4320321001,
https://doi.org/10.1109/tevc.2023.3278132,https://openalex.org/F4320321001,62176094
https://doi.org/10.1109/tevc.2023.3278132,https://openalex.org/F4320322120,HY-202400000001955
https://doi.org/10.1109/tevc.2023.3278132,https://openalex.org/F4320335777,2022ZD0120001
https://doi.org/10.1109/tpwrs.2024.3394210,https://openalex.org/F4320321001,52377074
https://doi.org/10.1109/tpwrs.2024.3394210,https://openalex.org/F4320321001,52007015
https://doi.org/10.1109/tpwrs.2024.3394210,https://openalex.org/F4320333642,23B0297
https://doi.org/10.1109/tte.2024.3411289,https://openalex.org/F4320321001,52007015
https://doi.org/10.1109/tte.2024.3411289,https://openalex.org/F4320321001,52377074
https://doi.org/10.1109/tte.2024.3411289,https://openalex.org/F4320322999,2023AA04
https://doi.org/10.1109/tte.2024.3411289,https://openalex.org/F4320333642,23B0297
https://doi.org/10.1109/tpwrs.2024.3402233,https://openalex.org/F4320321001,52007015
https://doi.org/10.1109/tpwrs.2024.3402233,https://openalex.org/F4320333642,23B0297
https://doi.org/10.1002/adma.202312596,https://openalex.org/F4320316880,GXWD20201231105722002‐20200824163747001
https://doi.org/10.1002/adma.202312596,https://openalex.org/F4320320508,UDF0100152
https://doi.org/10.1002/adma.202312596,https://openalex.org/F4320321001,52102368
https://doi.org/10.1002/adma.202312596,https://openalex.org/F4320321001,52203103
https://doi.org/10.1002/adma.202312596,https://openalex.org/F4320321001,52372096
https://doi.org/10.1002/adma.202312596,https://openalex.org/F4320321001,22205189
https://doi.org/10.1002/adma.202312596,https://openalex.org/F4320321543,2022M723030
https://doi.org/10.1002/adma.202312596,https://openalex.org/F4320336569,JCYJ20230807114205011
https://doi.org/10.1002/adma.202312596,https://openalex.org/F4320336569,KQTD20170810141424366
https://doi.org/10.1016/j.jcis.2024.09.020,https://openalex.org/F4320326705,
https://doi.org/10.1038/s41467-024-55030-2,https://openalex.org/F4320322598,"1-WZ1Y, 1-W28T"
https://doi.org/10.1177/10963480231223151,https://openalex.org/F4320321001,"72374226, 72071218, 72322020"
https://doi.org/10.1177/10963480231223151,https://openalex.org/F4320322598,1-ZE2S
https://doi.org/10.1177/10963480231223151,https://openalex.org/F4320337111,2020B1515020031
https://doi.org/10.1016/j.ensm.2025.104012,https://openalex.org/F4320321001,
https://doi.org/10.1016/j.ensm.2025.104012,https://openalex.org/F4320322843,
https://doi.org/10.1016/j.ijmecsci.2024.109783,https://openalex.org/F4320321001,
