doi,oa_author_id,oa_author_position,oa_author_is_corresponding,oa_author_raw_name
https://doi.org/10.1007/s12187-020-09719-7,https://openalex.org/A5029129567,last,False,Daniel T. L. Shek
https://doi.org/10.1016/j.ejpn.2019.12.017,https://openalex.org/A5061666777,first,False,Rang-Ge Ouyang
https://doi.org/10.1016/j.ejpn.2019.12.017,https://openalex.org/A5085281834,middle,False,Chieh-Ning Yang
https://doi.org/10.1016/j.ejpn.2019.12.017,https://openalex.org/A5063778978,middle,True,Ya-Lan Qu
https://doi.org/10.1016/j.ejpn.2019.12.017,https://openalex.org/A5023951536,middle,False,Manohar Prasad Koduri
https://doi.org/10.1016/j.ejpn.2019.12.017,https://openalex.org/A5010266809,last,False,Chi-Wen Chien
https://doi.org/10.3390/ijerph17010064,https://openalex.org/A5000402657,first,False,Xavier C. C. Fung
https://doi.org/10.3390/ijerph17010064,https://openalex.org/A5042562928,middle,False,Amir H. Pakpour
https://doi.org/10.3390/ijerph17010064,https://openalex.org/A5044424233,middle,False,Ya-Ke Wu
https://doi.org/10.3390/ijerph17010064,https://openalex.org/A5110761674,middle,False,Chia-Wei Fan
https://doi.org/10.3390/ijerph17010064,https://openalex.org/A5085673949,middle,True,Chung-Ying Lin
https://doi.org/10.3390/ijerph17010064,https://openalex.org/A5089204632,last,False,Hector W. H. Tsang
https://doi.org/10.1016/j.jallcom.2019.153281,https://openalex.org/A5016159831,first,True,Ghulam Abbas Gohar
https://doi.org/10.1016/j.jallcom.2019.153281,https://openalex.org/A5018599939,middle,False,Tareq Manzoor
https://doi.org/10.1016/j.jallcom.2019.153281,https://openalex.org/A5112489426,middle,False,Arslan Ahmad
https://doi.org/10.1016/j.jallcom.2019.153281,https://openalex.org/A5107989080,middle,False,Hassan Raza
https://doi.org/10.1016/j.jallcom.2019.153281,https://openalex.org/A5004799636,middle,False,Adeel Farooq
https://doi.org/10.1016/j.jallcom.2019.153281,https://openalex.org/A5042205703,middle,False,Imran Karim
https://doi.org/10.1016/j.jallcom.2019.153281,https://openalex.org/A5045167350,middle,False,Waqar Iftikhar
https://doi.org/10.1016/j.jallcom.2019.153281,https://openalex.org/A5071209803,middle,False,M. Umar
https://doi.org/10.1016/j.jallcom.2019.153281,https://openalex.org/A5026038750,last,False,Faiq Asad
https://doi.org/10.1016/j.jcis.2019.11.004,https://openalex.org/A5102573827,first,False,Yu-Chih Tsai
