oa_author_id,oa_author_name,oa_author_orcid
https://openalex.org/A5059630009,Sien Lin,https://orcid.org/0000-0002-7292-7062
https://openalex.org/A5020122283,Linlong Li,https://orcid.org/0000-0001-5927-6712
https://openalex.org/A5019257182,Lixiang Xue,https://orcid.org/0000-0003-1507-7193
https://openalex.org/A5060219571,Siu Ngor Fu,https://orcid.org/0000-0003-4405-015X
https://openalex.org/A5100712266,Jin Zhang,https://orcid.org/0000-0002-6875-8008
https://openalex.org/A5112707323,Yi He,
https://openalex.org/A5100665858,Jie Huang,https://orcid.org/0000-0001-9815-5825
https://openalex.org/A5048862490,Hoon Sohn,https://orcid.org/0000-0001-9337-6653
https://openalex.org/A5031896410,Linhe Sun,https://orcid.org/0009-0004-0333-9242
https://openalex.org/A5101912177,Shibo Zhang,https://orcid.org/0000-0002-5046-5346
https://openalex.org/A5026112648,Minghan Chen,https://orcid.org/0000-0003-0867-8580
https://openalex.org/A5101780811,Yongbo Wu,https://orcid.org/0000-0002-7916-749X
https://openalex.org/A5012909562,Simon Nusinovici,https://orcid.org/0000-0002-9599-5818
https://openalex.org/A5034635319,Raghavan Lavanya,https://orcid.org/0000-0003-2854-6526
https://openalex.org/A5085096438,Yih‐Chung Tham,
https://openalex.org/A5060570487,Hengtong Li,https://orcid.org/0000-0002-3843-7174
https://openalex.org/A5003831799,Danny Cheung,
https://openalex.org/A5100423388,Xiaomeng Wang,https://orcid.org/0000-0002-1036-2764
https://openalex.org/A5078487748,Chui Ming Gemmy Cheung,https://orcid.org/0000-0003-3358-3516
https://openalex.org/A5019521414,Usha Chakravarthy,https://orcid.org/0000-0002-2606-3734
https://openalex.org/A5032933669,Ching‐Yu Cheng,https://orcid.org/0000-0003-0655-885X
https://openalex.org/A5027021843,Abraham Aidoo Borsah,https://orcid.org/0000-0001-7936-3493
https://openalex.org/A5078891559,Evans Annan Boah,https://orcid.org/0000-0001-5582-6270
https://openalex.org/A5044563855,Eric Thompson Brantson,
https://openalex.org/A5053001449,Peihao Wang,https://orcid.org/0000-0001-7675-1271
https://openalex.org/A5047489435,Laurie Wu,https://orcid.org/0000-0001-9257-3911
https://openalex.org/A5020231916,Xuelong Dai,
https://openalex.org/A5102786306,Mengjing Zhao,https://orcid.org/0009-0005-0038-9663
https://openalex.org/A5101651926,Minchen Wei,https://orcid.org/0000-0002-0045-3160
https://openalex.org/A5104253785,Kawun Chung,
https://openalex.org/A5017822981,Xiaojuan Feng,
https://openalex.org/A5012709435,Yuanzhang Jiang,https://orcid.org/0000-0003-2501-9712
https://openalex.org/A5064142978,Ka Li,https://orcid.org/0000-0003-1091-1505
https://openalex.org/A5100621856,Jianming Chen,https://orcid.org/0000-0002-8505-7107
https://openalex.org/A5101535984,Yanting Han,https://orcid.org/0000-0002-0341-7122
https://openalex.org/A5110944633,Lin Tan,
https://openalex.org/A5024311492,Zhenggui Du,https://orcid.org/0000-0002-7412-0270
https://openalex.org/A5106546328,Q. Han,https://orcid.org/0000-0002-7958-2917
https://openalex.org/A5033665569,Xiong-Yu Xi,
https://openalex.org/A5045163743,Yixuan Ma,https://orcid.org/0000-0001-9652-1297
https://openalex.org/A5102598858,Dan Xing,
https://openalex.org/A5100612585,Yifei Sun,https://orcid.org/0000-0001-8135-1467
https://openalex.org/A5073831373,Jingxiaotao Fang,https://orcid.org/0000-0002-7746-1687
https://openalex.org/A5103096211,Liyuan Zhang,https://orcid.org/0000-0002-1206-3928
https://openalex.org/A5065739761,Guohao Zhang,https://orcid.org/0000-0002-4661-9058
https://openalex.org/A5003333136,Bing Xu,https://orcid.org/0000-0003-3677-1109
https://openalex.org/A5044957601,Li‐Ta Hsu,https://orcid.org/0000-0002-0352-741X
https://openalex.org/A5079446508,Zhuoye Zhang,https://orcid.org/0000-0001-9942-891X
https://openalex.org/A5041833099,Fangni Zhang,https://orcid.org/0000-0003-3584-4679
https://openalex.org/A5100431692,Wei Liu,https://orcid.org/0000-0001-8638-3695
https://openalex.org/A5045705475,Hai Yang,https://orcid.org/0000-0001-5210-8468
https://openalex.org/A5080473796,O.T. Bentil,
https://openalex.org/A5042966664,Kai Liu,https://orcid.org/0000-0002-1706-986X
https://openalex.org/A5104198776,Junkai Wen,https://orcid.org/0009-0004-1493-4274
https://openalex.org/A5104101865,Xin Yuan,
https://openalex.org/A5008785383,Yuanhao Hu,
https://openalex.org/A5046014971,Bun Tsoi,https://orcid.org/0000-0003-4958-4222
https://openalex.org/A5078035302,Fiona Y. Wong,https://orcid.org/0000-0002-6805-1563
https://openalex.org/A5011561194,Pak‐Ting Hau,https://orcid.org/0009-0009-2819-8710
https://openalex.org/A5061232713,Emily W. T. Tam,https://orcid.org/0000-0001-9223-8822
https://openalex.org/A5065415277,Daniel Kam‐Wah Mok,https://orcid.org/0000-0002-6677-2949
https://openalex.org/A5015046013,Yiu Wa Kwan,https://orcid.org/0000-0002-9024-1275
https://openalex.org/A5002286218,Gph Leung,https://orcid.org/0000-0003-3529-9367
https://openalex.org/A5053935265,Simon Ming‐Yuen Lee,https://orcid.org/0000-0002-3966-6569
https://openalex.org/A5100338408,Jingjing Li,https://orcid.org/0000-0003-3636-0537
https://openalex.org/A5012832290,Franklin Wang‐Ngai Chow,https://orcid.org/0000-0003-1275-2464
https://openalex.org/A5089021659,Sai Wang Seto,https://orcid.org/0000-0003-0236-4935
https://openalex.org/A5026712332,Binbin Yin,https://orcid.org/0000-0001-9660-8907
https://openalex.org/A5029869575,Weikang Sun,https://orcid.org/0000-0001-6092-9725
https://openalex.org/A5100443601,Chuan Wang,https://orcid.org/0009-0004-0210-867X
https://openalex.org/A5090005412,K.M. Liew,https://orcid.org/0000-0001-7160-7676
https://openalex.org/A5100765003,Yu Peng,https://orcid.org/0000-0002-2769-4650
https://openalex.org/A5101807147,Bo Xie,https://orcid.org/0000-0003-4190-1158
https://openalex.org/A5073102843,Haixia Cui,https://orcid.org/0000-0001-8489-9700
https://openalex.org/A5018293126,Ivan Wang‐Hei Ho,https://orcid.org/0000-0003-0043-2025
https://openalex.org/A5100461971,Yejun He,https://orcid.org/0000-0002-8564-5355
https://openalex.org/A5057916222,Mohsen Guizani,https://orcid.org/0000-0002-8972-8094
https://openalex.org/A5100449060,Jinghua Wang,https://orcid.org/0000-0003-1821-2362
https://openalex.org/A5076664509,Daniel Y. Mo,https://orcid.org/0000-0001-8307-9065
https://openalex.org/A5104669154,K.T. Chung,
https://openalex.org/A5040778491,Jingshuai Zhu,https://orcid.org/0009-0003-3686-8573
https://openalex.org/A5013424469,Jie Dang,https://orcid.org/0000-0003-3235-3591
https://openalex.org/A5032721243,Haoyuan Xiao,
https://openalex.org/A5101662568,Yuqi Wang,https://orcid.org/0000-0002-0845-6331
https://openalex.org/A5035440542,Lei Ding,https://orcid.org/0000-0001-6993-8273
https://openalex.org/A5039376323,Jiaxin Zheng,https://orcid.org/0000-0001-5943-0935
https://openalex.org/A5107843739,Jianming Chen,
https://openalex.org/A5100781833,Jianxiang Zhang,https://orcid.org/0000-0002-0984-2947
https://openalex.org/A5100783200,John H. Xin,https://orcid.org/0000-0001-9965-7421
https://openalex.org/A5101441831,Shiguo Chen,https://orcid.org/0000-0002-5338-690X
https://openalex.org/A5100635363,Yuanfeng Wang,https://orcid.org/0000-0002-1167-804X
https://openalex.org/A5052404013,Yuyao Ji,https://orcid.org/0000-0002-9661-0713
https://openalex.org/A5011738172,Qiang Hu,https://orcid.org/0009-0007-1337-502X
https://openalex.org/A5037246197,Cuiping Han,https://orcid.org/0000-0003-1186-3234
https://openalex.org/A5100406789,Hui‐Ming Cheng,https://orcid.org/0000-0002-5387-4241
https://openalex.org/A5102027770,Wenxuan Zhu,https://orcid.org/0000-0001-5224-0215
https://openalex.org/A5080171254,Long Shi,https://orcid.org/0000-0001-6124-5173
https://openalex.org/A5100691319,Jun Li,https://orcid.org/0000-0002-6239-2922
https://openalex.org/A5000734023,Bin Cao,https://orcid.org/0000-0001-8839-243X
https://openalex.org/A5034649717,Kang Wei,https://orcid.org/0000-0001-8794-2153
https://openalex.org/A5100407591,Zhe Wang,https://orcid.org/0000-0001-9727-5569
https://openalex.org/A5100767738,Tao Huang,https://orcid.org/0000-0002-8098-8906
https://openalex.org/A5086860011,Kaiyin Zhao,
https://openalex.org/A5101400348,Hengrui Liu,https://orcid.org/0000-0003-3011-1599
https://openalex.org/A5024055881,Lucen Hao,
https://openalex.org/A5101643969,Shuangshuang Liu,https://orcid.org/0000-0001-5204-3529
https://openalex.org/A5100674706,Shipeng Zhang,https://orcid.org/0000-0003-2433-549X
https://openalex.org/A5104323578,Hao-Yi Zhang,
https://openalex.org/A5113308888,Goman Wai-Ming Ho,
https://openalex.org/A5100781718,Si‐Wei Liu,https://orcid.org/0000-0002-3283-5964
https://openalex.org/A5101913665,Liang Chen,https://orcid.org/0000-0002-1707-6349
https://openalex.org/A5082781780,Siu-Lai Chan,
https://openalex.org/A5059765262,Su Xiu Xu,https://orcid.org/0000-0002-9643-2400
https://openalex.org/A5024566781,Y.K. Ding,https://orcid.org/0000-0002-7973-3359
https://openalex.org/A5062128276,Jianghong Feng,https://orcid.org/0000-0002-4641-4343
https://openalex.org/A5051631726,Zhen Hou,https://orcid.org/0000-0002-0939-6115
https://openalex.org/A5028744462,Rui Zhou,https://orcid.org/0000-0002-9087-9770
https://openalex.org/A5100399825,Kai Liu,https://orcid.org/0000-0001-8459-5184
https://openalex.org/A5091219775,Junwu Zhu,https://orcid.org/0000-0002-7518-9683
https://openalex.org/A5023104493,Akheel A. Syed,https://orcid.org/0000-0001-8696-7121
https://openalex.org/A5012924890,Atta Ur Rehman,https://orcid.org/0000-0001-8324-7305
https://openalex.org/A5100408457,Yixuan Wang,https://orcid.org/0000-0001-9969-2710
https://openalex.org/A5109397921,Yanting Shen,https://orcid.org/0000-0001-8129-0844
https://openalex.org/A5032325102,Kaimin Shih,https://orcid.org/0000-0002-6461-3207
https://openalex.org/A5101376899,Jialiang Zhu,https://orcid.org/0000-0001-8332-2803
https://openalex.org/A5072669960,Hao Zheng,https://orcid.org/0000-0003-3313-1675
https://openalex.org/A5100295095,Zhiming He,
https://openalex.org/A5100330853,Yuxuan Liu,https://orcid.org/0009-0003-2219-8556
https://openalex.org/A5100375557,Shuang Wang,https://orcid.org/0000-0001-6420-983X
https://openalex.org/A5059272550,Qi Sun,https://orcid.org/0009-0005-0146-0724
https://openalex.org/A5009330947,Kening Zhang,https://orcid.org/0009-0006-2680-5247
https://openalex.org/A5081033830,Chen Yuan,https://orcid.org/0000-0003-4144-8795
https://openalex.org/A5022953018,Yunting Feng,
https://openalex.org/A5085181118,Qinghua Zhu,https://orcid.org/0000-0003-2648-0260
https://openalex.org/A5061386321,Xinchao Zhu,https://orcid.org/0000-0002-9678-0085
https://openalex.org/A5012567101,Chaoqun Yang,https://orcid.org/0000-0002-5081-5537
https://openalex.org/A5087125783,Chengwei Zhou,https://orcid.org/0000-0002-9437-2379
https://openalex.org/A5115590498,Wei Liu,https://orcid.org/0009-0001-6324-3830
https://openalex.org/A5041940889,Zhiguo Shi,https://orcid.org/0000-0001-9160-048X
https://openalex.org/A5050972553,Xin Wen,https://orcid.org/0000-0003-0279-6869
https://openalex.org/A5078004739,Tsan‐Ming Choi,https://orcid.org/0000-0003-3865-7043
https://openalex.org/A5013013121,Hoi‐Lam Ma,https://orcid.org/0000-0003-2379-2816
https://openalex.org/A5012818355,Xuting Sun,https://orcid.org/0000-0002-1985-153X
https://openalex.org/A5101796578,Zifeng Chen,https://orcid.org/0009-0004-7385-9825
https://openalex.org/A5100620968,Hao Jing,https://orcid.org/0009-0002-1499-0327
https://openalex.org/A5048076670,Xinghao Wang,https://orcid.org/0009-0004-5625-0495
https://openalex.org/A5061902764,Lefei Ge,https://orcid.org/0000-0002-7574-478X
https://openalex.org/A5076443014,Dianxun Xiao,https://orcid.org/0000-0003-1157-9209
https://openalex.org/A5001489369,Shaxi Ouyang,https://orcid.org/0000-0003-2319-5640
https://openalex.org/A5104332859,Maomao Zhai,
https://openalex.org/A5108888458,Zhongyuan Wen,
https://openalex.org/A5021411227,Shouwei Zhang,https://orcid.org/0000-0002-7964-2588
https://openalex.org/A5102919722,K.M. Zhu,https://orcid.org/0009-0007-3967-081X
https://openalex.org/A5115597432,Jinming Zhang,
https://openalex.org/A5103166291,Qingtao Liu,https://orcid.org/0000-0002-6105-2969
https://openalex.org/A5103146109,Pei Ma,https://orcid.org/0009-0006-7956-650X
https://openalex.org/A5100622018,Zhi Chen,https://orcid.org/0000-0002-4385-1484
https://openalex.org/A5002375482,Yuhua Huang,https://orcid.org/0000-0001-9610-2113
https://openalex.org/A5109612628,Mayang Zhao,
https://openalex.org/A5036337382,Wen J. Li,https://orcid.org/0000-0001-9616-6213
https://openalex.org/A5007890293,Haojiang Li,https://orcid.org/0000-0001-5854-3989
https://openalex.org/A5069532193,Di Cao,https://orcid.org/0000-0003-0337-7930
https://openalex.org/A5101528371,Yiquan Jiang,
https://openalex.org/A5037208015,Zhou Ta,https://orcid.org/0000-0003-3238-7257
https://openalex.org/A5052884545,Jing Cai,https://orcid.org/0000-0001-6934-0108
https://openalex.org/A5064187352,Ge Ren,https://orcid.org/0000-0003-2049-2682
https://openalex.org/A5101983101,Hong Hao,https://orcid.org/0000-0001-7509-8653
https://openalex.org/A5035623237,Yongsheng Cao,https://orcid.org/0000-0003-2903-8793
https://openalex.org/A5041038107,Suhong Li,
https://openalex.org/A5028083288,Chuanshen Wang,
https://openalex.org/A5100685584,Wei Cai,https://orcid.org/0000-0002-0353-9277
https://openalex.org/A5030466504,Wenzong Xu,https://orcid.org/0000-0002-8452-4199
https://openalex.org/A5100366564,Jingfeng Wang,https://orcid.org/0000-0001-6013-5618
https://openalex.org/A5057020108,Mingtong Zhang,https://orcid.org/0000-0003-4438-7756
https://openalex.org/A5100310818,Zhimin Song,
https://openalex.org/A5115594538,Di Zhang,https://orcid.org/0000-0001-5196-4633
https://openalex.org/A5111236430,Lei Song,
https://openalex.org/A5104290310,Hongyang Zhu,
https://openalex.org/A5022468304,Ziman Chen,
https://openalex.org/A5013189100,Nonhlanhla Chambara,https://orcid.org/0000-0002-3183-883X
https://openalex.org/A5103062571,Chaoqun Wu,https://orcid.org/0000-0003-0110-5990
https://openalex.org/A5045119933,Xina Lo,https://orcid.org/0000-0002-3107-4155
https://openalex.org/A5077691959,Shirley Yuk‐Wah Liu,https://orcid.org/0000-0003-3882-8885
https://openalex.org/A5057214607,Simon Takadiyi Gunda,https://orcid.org/0000-0002-0461-5139
https://openalex.org/A5072814240,Xinyang Han,https://orcid.org/0000-0003-1469-0754
https://openalex.org/A5009062806,Jingguo Qu,https://orcid.org/0000-0003-4780-4316
https://openalex.org/A5017896131,Fei Chen,https://orcid.org/0000-0001-7891-6519
https://openalex.org/A5112990021,Michael Tin Cheung Ying,
https://openalex.org/A5060071191,Xiaoyou Wang,https://orcid.org/0000-0002-4588-2460
https://openalex.org/A5056499189,Jinyang Jiao,https://orcid.org/0000-0002-3901-5993
https://openalex.org/A5058788289,Xiaoqing Zhou,https://orcid.org/0000-0001-7254-2480
https://openalex.org/A5049612988,Fuliang Wu,https://orcid.org/0000-0003-2481-2006
https://openalex.org/A5004713120,Hongbo Ye,https://orcid.org/0000-0001-9446-8787
https://openalex.org/A5021959924,Tolga Bektaş,https://orcid.org/0000-0003-0634-144X
https://openalex.org/A5025219585,Ming Dong,https://orcid.org/0000-0001-9452-9463
https://openalex.org/A5064888523,Xueqian Zhao,https://orcid.org/0000-0003-3341-2856
https://openalex.org/A5021250755,Junyi Gong,https://orcid.org/0000-0001-7592-7132
https://openalex.org/A5045496001,Zikang Li,https://orcid.org/0000-0001-5177-3853
https://openalex.org/A5103407405,Herman Ho Yung Sung,
