oa_funder_id,oa_funder_name
https://openalex.org/F4320309978,Florida Department of Transportation
https://openalex.org/F4320322511,Narodowe Centrum Nauki
https://openalex.org/F4320321145,King Saud University
https://openalex.org/F4320336600,Major Project of Philosophy and Social Science Research in Colleges and Universities of Jiangsu Province
https://openalex.org/F4320337213,"Department of Building and Real Estate, Hong Kong Polytechnic University"
https://openalex.org/F4320323993,Natural Science Foundation of Tianjin City
https://openalex.org/F4320338146,Natural Science Foundation of Tianjin-Science and Technology Correspondent Project
https://openalex.org/F4320322795,"Ministry of Science and Technology, Taiwan"
https://openalex.org/F4320323706,"Ministry of Science and Technology, Israel"
https://openalex.org/F4320322792,Nanchang University
https://openalex.org/F4320327557,National Office for Philosophy and Social Sciences
https://openalex.org/F4320324173,Natural Science Foundation of Shaanxi Province
https://openalex.org/F4320336648,National Program for Support of Top-notch Young Professionals
https://openalex.org/F4320327803,Shanghai Rising-Star Program
https://openalex.org/F4320335581,Young Scientists Fund
https://openalex.org/F4320321885,Science and Technology Commission of Shanghai Municipality
https://openalex.org/F4320333688,National Outstanding Youth Science Fund Project of National Natural Science Foundation of China
https://openalex.org/F4320320924,Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung
https://openalex.org/F4320326510,Urban Management Bureau of Shenzhen Municipality
https://openalex.org/F4320320904,Croucher Foundation
https://openalex.org/F4320324787,Peking University
https://openalex.org/F4320334977,Beijing Municipal Natural Science Foundation
https://openalex.org/F4320324252,Université Paris-Saclay
https://openalex.org/F4320336744,Science and Technology Program of Hubei Province
https://openalex.org/F4320326796,Hong Kong Research Institute of Textiles and Apparel
https://openalex.org/F4320316081,Jilin Province Development and Reform Commission
https://openalex.org/F4320333335,Sichuan Province Science and Technology Support Program
https://openalex.org/F4320311649,Ministry of Education
https://openalex.org/F4320335882,General Research Fund of Shanghai Normal University
https://openalex.org/F4320335880,Fundamental Research Funds for Central Universities of the Central South University
https://openalex.org/F4320328119,National University's Basic Research Foundation of China
https://openalex.org/F4320338510,Materials and Manufacturing Directorate
https://openalex.org/F4320335795,Science and Technology Planning Project of Guangdong Province
https://openalex.org/F4320329899,Scientific Research Foundation of Education Department of Anhui Province of China
https://openalex.org/F4320335443,Postdoctoral Research Foundation of China
https://openalex.org/F4320335768,National Postdoctoral Program for Innovative Talents
https://openalex.org/F4320321545,China Sponsorship Council
https://openalex.org/F4320306076,National Science Foundation
https://openalex.org/F4320329895,Liaoning Revitalization Talents Program
https://openalex.org/F4320334014,Youth Innovation Technology Project of Higher School in Shandong Province
https://openalex.org/F4320335994,Program for Nonferrous Metals Vacuum Metallurgy Innovation Team of Ministry of Science and Technology
https://openalex.org/F4320332236,"Annenberg School for Communication and Journalism, University of Southern California"
https://openalex.org/F4320323246,Damghan University
https://openalex.org/F4320321878,Natural Science Foundation of Fujian Province
https://openalex.org/F4320323172,Natural Science Foundation of Chongqing
https://openalex.org/F4320335848,Agricultural Science and Technology Innovation Program
https://openalex.org/F4320328746,Guilin Medical University
https://openalex.org/F4320322725,China Scholarship Council
https://openalex.org/F4320320974,University of Melbourne
https://openalex.org/F4320334737,National Medical Research Council
https://openalex.org/F4320325030,Guangdong University of Technology
https://openalex.org/F4320326228,Southern Medical University
https://openalex.org/F4320326707,State Grid Corporation of China
https://openalex.org/F4320337135,"Faculty of Science, Chinese University of Hong Kong"
https://openalex.org/F4320324116,Wuhan University
https://openalex.org/F4320335982,Humanities and Social Science Fund of Ministry of Education of China
https://openalex.org/F4320334593,Natural Sciences and Engineering Research Council of Canada
https://openalex.org/F4320321925,Guilin University of Technology
https://openalex.org/F4320323537,Hong Kong University of Science and Technology
https://openalex.org/F4320334845,"Agentúra Ministerstva Školstva, Vedy, Výskumu a Športu SR"
https://openalex.org/F4320322866,Natural Science Foundation of Hainan Province
https://openalex.org/F4320338204,Program for Changjiang Scholars and Innovative Research Team in University
https://openalex.org/F4320314149,State Key Laboratory in Marine Pollution
https://openalex.org/F4320317337,Science and Technology Foundation of Shenzhen City
https://openalex.org/F4320321730,Fonds Wetenschappelijk Onderzoek
https://openalex.org/F4320321912,Ministry of Education and Science of the Russian Federation
https://openalex.org/F4320325437,Jiangsu Science and Technology Department
https://openalex.org/F4320326186,China National Textile and Apparel Council
https://openalex.org/F4320311778,China Association for Science and Technology
https://openalex.org/F4320336602,Major Science and Technology Projects in Yunnan Province
https://openalex.org/F4320320338,Human Frontier Science Program
https://openalex.org/F4320321363,Incheon National University
https://openalex.org/F4320320005,Royal Academy of Engineering
https://openalex.org/F4320334997,Chinese Universities Scientific Fund
https://openalex.org/F4320326672,China Petrochemical Corporation
https://openalex.org/F4320320337,University of Glasgow
https://openalex.org/F4320335376,Medical Science and Technology Foundation of Guangdong Province
https://openalex.org/F4320336405,Special Project for Research and Development in Key areas of Guangdong Province
https://openalex.org/F4320331610,Institut Canadien des Dérivés
https://openalex.org/F4320329690,National Institute of Clean-and-Low-Carbon Energy
https://openalex.org/F4320321514,Central South University
https://openalex.org/F4320306709,Glaucoma Research Foundation
https://openalex.org/F4320327913,ShanXi Science and Technology Department
https://openalex.org/F4320336589,Guangxi Key Research and Development Program
https://openalex.org/F4320310490,Villum Fonden
https://openalex.org/F4320327387,Danmarks Frie Forskningsfond
https://openalex.org/F4320327181,"Research Institute for Sustainable Urban Development, Hong Kong Polytechnic University"
https://openalex.org/F4320326414,Education University of Hong Kong
https://openalex.org/F4320327891,Major Basic Research Project of the Natural Science Foundation of the Jiangsu Higher Education Institutions
https://openalex.org/F4320321346,University of Seoul
https://openalex.org/F4320324625,Korea Agency for Infrastructure Technology Advancement
https://openalex.org/F4320328618,Lingnan University
https://openalex.org/F4320329479,Universitas Negeri Jakarta
https://openalex.org/F4320322990,Sichuan University
https://openalex.org/F4320309549,University of Houston
https://openalex.org/F4320335767,Sanming Project of Medicine in Shenzhen
https://openalex.org/F4320309776,Lee Foundation
https://openalex.org/F4320325599,University of Science and Technology of China
https://openalex.org/F4320315075,Western Sydney Local Health District
https://openalex.org/F4320334705,National Health and Medical Research Council
https://openalex.org/F4320322684,Hubei University of Automotive Technology
https://openalex.org/F4320322499,Renmin University of China
https://openalex.org/F4320327677,State Key Laboratory Of Alternate Electrical Power System With Renewable Energy Sources
https://openalex.org/F4320326278,Philosophy and Social Science Foundation of Hunan Province
https://openalex.org/F4320329755,Jiangsu Association for Science and Technology
https://openalex.org/F4320326177,Chinesisch-Deutsche Zentrum für Wissenschaftsförderung
https://openalex.org/F4320327397,Gannan Normal University
https://openalex.org/F4320315595,J. Willard and Alice S. Marriott Foundation
https://openalex.org/F4320313979,Polytechnique Montréal
https://openalex.org/F4320316338,Special Project for Marine Economy Development of Guangdong Province
https://openalex.org/F4320334953,China National Funds for Distinguished Young Scientists
https://openalex.org/F4320326664,Anhui Provincial Department of Education
https://openalex.org/F4320313796,Innovationsfonden
https://openalex.org/F4320325438,Wuhan Institute of Technology
https://openalex.org/F4320317581,Health Commission of Hunan Province
https://openalex.org/F4320334779,Fundação para a Ciência e a Tecnologia
https://openalex.org/F4320321547,"China University of Petroleum, Beijing"
https://openalex.org/F4320338335,H2020 European Research Council
https://openalex.org/F4320310264,University of Nebraska-Lincoln
https://openalex.org/F4320330122,Southwest Minzu University
https://openalex.org/F4320335817,National Social Science Fund Youth Project
https://openalex.org/F4320310901,Guangdong University of Petrochemical Technology
https://openalex.org/F4320326279,Department of Education of Guangdong Province
https://openalex.org/F4320322997,King Abdulaziz City for Science and Technology
https://openalex.org/F4320334009,Guangdong Provincial Pearl River Talents Program
https://openalex.org/F4320322036,Korea Meteorological Administration
https://openalex.org/F4320334877,Korea Environmental Industry and Technology Institute
https://openalex.org/F4320320751,Ministry of Education - Singapore
https://openalex.org/F4320328656,Singapore Management University
https://openalex.org/F4320337986,Tsinghua Shenzhen International Graduate School
https://openalex.org/F4320321432,Beijing Normal University
https://openalex.org/F4320330214,Key Research and Development Program of Hunan Province of China
https://openalex.org/F4320327695,Nazarbayev University
https://openalex.org/F4320325571,Shenzhen University
https://openalex.org/F4320327518,Priority Academic Program Development of Jiangsu Higher Education Institutions
https://openalex.org/F4320323893,Fundo para o Desenvolvimento das Ciências e da Tecnologia
https://openalex.org/F4320335575,Key Programme
https://openalex.org/F4320336672,"Institute of Geology and Geophysics, Chinese Academy of Sciences"
https://openalex.org/F4320321408,Ministry of Education
