doi,oa_funder_id,oa_award_id
https://doi.org/10.1002/adfm.202316199,https://openalex.org/F4320321001,22371054
https://doi.org/10.1002/adfm.202316199,https://openalex.org/F4320321001,22309156
https://doi.org/10.1016/j.scitotenv.2023.169423,https://openalex.org/F4320321912,
https://doi.org/10.1016/j.scitotenv.2023.169423,https://openalex.org/F4320324099,
https://doi.org/10.1016/j.scitotenv.2023.169423,https://openalex.org/F4320327643,
https://doi.org/10.1016/j.scitotenv.2023.169423,https://openalex.org/F4320329913,
https://doi.org/10.1002/adfm.202311063,https://openalex.org/F4320322598,WZ4Q
https://doi.org/10.1002/adfm.202311063,https://openalex.org/F4320322598,CD4D
https://doi.org/10.1002/adfm.202311063,https://openalex.org/F4320322598,BDC2
https://doi.org/10.1016/j.buildenv.2023.111063,https://openalex.org/F4320321001,T22-504/21R
https://doi.org/10.1016/j.buildenv.2023.111063,https://openalex.org/F4320321001,IIS-2211491
https://doi.org/10.1016/j.buildenv.2023.111063,https://openalex.org/F4320321592,
https://doi.org/10.1016/j.buildenv.2023.111063,https://openalex.org/F4320322598,
https://doi.org/10.1016/j.buildenv.2023.111063,https://openalex.org/F4320334593,
https://doi.org/10.1016/j.enconman.2023.117815,https://openalex.org/F4320321001,52178071
https://doi.org/10.1016/j.enconman.2023.117815,https://openalex.org/F4320335777,
https://doi.org/10.1016/j.enconman.2023.117815,https://openalex.org/F4320336026,2022YFE0133900
https://doi.org/10.1016/j.ress.2023.109599,https://openalex.org/F4320321001,
https://doi.org/10.1016/j.ress.2023.109599,https://openalex.org/F4320321019,
https://doi.org/10.1016/j.ress.2023.109599,https://openalex.org/F4320322598,
https://doi.org/10.1109/tnnls.2022.3208956,https://openalex.org/F4320321001,U1811263
https://doi.org/10.1109/tnnls.2022.3208956,https://openalex.org/F4320321001,61773179
https://doi.org/10.1109/tnnls.2022.3208956,https://openalex.org/F4320321001,62106084
https://doi.org/10.1109/tnnls.2022.3208956,https://openalex.org/F4320321921,2019A1515012175
https://doi.org/10.1109/tnnls.2022.3208956,https://openalex.org/F4320321921,2022A1515010468
https://doi.org/10.1109/tnnls.2022.3208956,https://openalex.org/F4320335480,202201010498
https://doi.org/10.1109/tnnls.2022.3208956,https://openalex.org/F4320335787,21621026
https://doi.org/10.1038/s41427-024-00565-5,https://openalex.org/F4320321001,51875581
https://doi.org/10.1002/inf2.12620,https://openalex.org/F4320321001,51932011
https://doi.org/10.1002/inf2.12620,https://openalex.org/F4320321001,52372252
https://doi.org/10.1002/inf2.12620,https://openalex.org/F4320335880,2024ZZTS0642
https://doi.org/10.1002/adma.202406219,https://openalex.org/F4320321001,52261135548
https://doi.org/10.1002/adma.202406219,https://openalex.org/F4320321001,52272123
https://doi.org/10.1002/adma.202406219,https://openalex.org/F4320321001,52172127
https://doi.org/10.1002/adma.202406219,https://openalex.org/F4320336350,No. 2022KWZ‐22
https://doi.org/10.1002/adma.202405145,https://openalex.org/F4320321001,62122055
https://doi.org/10.1002/adma.202405145,https://openalex.org/F4320321001,61974093
https://doi.org/10.1002/adma.202405145,https://openalex.org/F4320321001,62304137
https://doi.org/10.1002/adma.202405145,https://openalex.org/F4320321001,62104154
https://doi.org/10.1002/adma.202405145,https://openalex.org/F4320321001,62074104
https://doi.org/10.1002/adma.202405145,https://openalex.org/F4320321001,52373248
https://doi.org/10.1002/adma.202405145,https://openalex.org/F4320324202,2021A1515012569
https://doi.org/10.1002/adma.202405145,https://openalex.org/F4320324202,2024A1515011718
https://doi.org/10.1002/adma.202405145,https://openalex.org/F4320324202,2024A1515010006
https://doi.org/10.1002/adma.202405145,https://openalex.org/F4320326705,20231123155543001
https://doi.org/10.1002/adma.202405145,https://openalex.org/F4320326705,JCYJ20230808105900001
https://doi.org/10.1002/adma.202405145,https://openalex.org/F4320326705,RCYX20200714114524157
https://doi.org/10.1002/adma.202405145,https://openalex.org/F4320326705,JCYJ20220531102214032
https://doi.org/10.1002/adma.202405145,https://openalex.org/F4320326705,JCYJ20220818100206013
https://doi.org/10.1002/adma.202405145,https://openalex.org/F4320326705,20200804172625001
https://doi.org/10.1002/adma.202405145,https://openalex.org/F4320326705,JCYJ20210324095207020
https://doi.org/10.1016/j.psep.2024.06.052,https://openalex.org/F4320321001,
https://doi.org/10.1007/s41918-024-00226-9,https://openalex.org/F4320321001,U22A20438
https://doi.org/10.1007/s41918-024-00226-9,https://openalex.org/F4320321001,U20A20249
https://doi.org/10.1007/s41918-024-00226-9,https://openalex.org/F4320335830,2019YFE010186
https://doi.org/10.1002/adma.202402833,https://openalex.org/F4320321001,62305340
https://doi.org/10.1002/adma.202402833,https://openalex.org/F4320322320,ORFS‐CRG11‐2022‐5045
https://doi.org/10.1002/adma.202402833,https://openalex.org/F4320322320,OSR‐CARF/CCF‐3079
https://doi.org/10.1002/adma.202402833,https://openalex.org/F4320322320,ORA‐2022‐5002
https://doi.org/10.1002/adma.202402833,https://openalex.org/F4320323172,cstc2021ycjh‐bgzxm0093
https://doi.org/10.1002/adma.202403791,https://openalex.org/F4320334704,IH210100040
https://doi.org/10.1002/adma.202403791,https://openalex.org/F4320334704,DP210100879
https://doi.org/10.1002/adma.202403791,https://openalex.org/F4320334704,DP230101040
https://doi.org/10.1016/j.tourman.2024.104966,https://openalex.org/F4320327557,22&ZD194
https://doi.org/10.1002/adfm.202400131,https://openalex.org/F4320321001,22075057
https://doi.org/10.1002/adfm.202400131,https://openalex.org/F4320321920,ITC‐CNERC14SC01
https://doi.org/10.1002/adfm.202400131,https://openalex.org/F4320329699,ZSST20SC02
https://doi.org/10.1002/adfm.202400131,https://openalex.org/F4320329791,JCYJ20200109140801751
https://doi.org/10.1002/adfm.202400131,https://openalex.org/F4320335777,2019YFA0705900
https://doi.org/10.1002/adfm.202400131,https://openalex.org/F4320337111,2019B030302007
https://doi.org/10.1039/d4sc00510d,https://openalex.org/F4320321001,21676036
https://doi.org/10.1039/d4sc00510d,https://openalex.org/F4320323172,CSTB2023NSCQ-MSX0580
https://doi.org/10.1016/j.jclepro.2024.141744,https://openalex.org/F4320306709,
https://doi.org/10.1016/j.jclepro.2024.141744,https://openalex.org/F4320321592,
https://doi.org/10.1016/j.jclepro.2024.141744,https://openalex.org/F4320322598,15220423
https://doi.org/10.1016/j.jclepro.2024.141744,https://openalex.org/F4320335882,
https://doi.org/10.3390/electronics13050890,https://openalex.org/F4320321001,62067009
https://doi.org/10.1038/s41929-024-01112-9,https://openalex.org/F4320320904,
https://doi.org/10.1038/s41929-024-01112-9,https://openalex.org/F4320321001,22201236
https://doi.org/10.1038/s41929-024-01112-9,https://openalex.org/F4320321001,22172136
https://doi.org/10.1038/s41929-024-01112-9,https://openalex.org/F4320321592,17313922
https://doi.org/10.1038/s41929-024-01112-9,https://openalex.org/F4320321592,15301521
https://doi.org/10.1038/s41929-024-01112-9,https://openalex.org/F4320321592,27301820
https://doi.org/10.1038/s41929-024-01112-9,https://openalex.org/F4320321592,15300819
https://doi.org/10.1038/s41929-024-01112-9,https://openalex.org/F4320321592,27200822
https://doi.org/10.1038/s41929-024-01112-9,https://openalex.org/F4320321592,16302520
https://doi.org/10.1109/tmc.2024.3365295,https://openalex.org/F4320322598,P0038174
https://doi.org/10.1016/j.autcon.2024.105363,https://openalex.org/F4320321001,
https://doi.org/10.1002/advs.202401868,https://openalex.org/F4320321001,21975010
https://doi.org/10.1002/advs.202401868,https://openalex.org/F4320321001,22225903
https://doi.org/10.1002/advs.202401868,https://openalex.org/F4320321001,U21A20328
https://doi.org/10.1002/advs.202401868,https://openalex.org/F4320322919,Z200012
https://doi.org/10.1002/advs.202401868,https://openalex.org/F4320335777,2021YFB4000601
https://doi.org/10.1016/j.ocecoaman.2023.106966,https://openalex.org/F4320321001,72071025
https://doi.org/10.1016/j.ocecoaman.2023.106966,https://openalex.org/F4320321001,72072097
https://doi.org/10.1016/j.ocecoaman.2023.106966,https://openalex.org/F4320321001,72101129
https://doi.org/10.1016/j.ocecoaman.2023.106966,https://openalex.org/F4320321001,72001120
https://doi.org/10.1016/j.ocecoaman.2023.106966,https://openalex.org/F4320328119,
https://doi.org/10.1016/j.ocecoaman.2023.106966,https://openalex.org/F4320335787,3132023706
https://doi.org/10.1088/2752-5724/ad08cb,https://openalex.org/F4320321001,11374250
https://doi.org/10.1063/5.0185502,https://openalex.org/F4320321001,U20A20209
https://doi.org/10.1063/5.0185502,https://openalex.org/F4320321543,2021M703310
https://doi.org/10.1063/5.0185502,https://openalex.org/F4320332587,2023J356
https://doi.org/10.1002/aenm.202304027,https://openalex.org/F4320322598,
https://doi.org/10.1002/aenm.202304027,https://openalex.org/F4320326705,SGDX20210823103401011
https://doi.org/10.1002/adfm.202313594,https://openalex.org/F4320326911,sklpme2022‐3‐02
https://doi.org/10.1002/adfm.202313594,https://openalex.org/F4320326911,sklpme2023‐2‐11
https://doi.org/10.1002/adfm.202313594,https://openalex.org/F4320333335,2023YFH0085
https://doi.org/10.1002/adfm.202313594,https://openalex.org/F4320333335,2023YFH0087
https://doi.org/10.1002/adfm.202313594,https://openalex.org/F4320333335,2023NSFSC0990
https://doi.org/10.1002/adfm.202313594,https://openalex.org/F4320333335,2023YFH0086
https://doi.org/10.1002/cey2.449,https://openalex.org/F4320321001,21972108
https://doi.org/10.1002/cey2.449,https://openalex.org/F4320321001,U22A20438
https://doi.org/10.1002/cey2.449,https://openalex.org/F4320321001,U20A20249
https://doi.org/10.1002/cey2.449,https://openalex.org/F4320324176,CM20223017
https://doi.org/10.1002/advs.202305572,https://openalex.org/F4320306084,DE‐AC02‐05CH11231
https://doi.org/10.1002/advs.202305572,https://openalex.org/F4320313851,6022310038k
https://doi.org/10.1002/advs.202305572,https://openalex.org/F4320321001,62004129
https://doi.org/10.1002/advs.202305572,https://openalex.org/F4320322598,
https://doi.org/10.1002/advs.202305572,https://openalex.org/F4320336569,20220811205532001
https://doi.org/10.1002/advs.202305572,https://openalex.org/F4320336569,JCYJ20200109105003940
https://doi.org/10.1016/j.autcon.2023.105161,https://openalex.org/F4320321001,72201229
https://doi.org/10.1016/j.autcon.2023.105161,https://openalex.org/F4320321001,52308319
https://doi.org/10.1080/15623599.2023.2271214,https://openalex.org/F4320311227,PSAU/2023/R/1445
https://doi.org/10.1080/15623599.2023.2267870,https://openalex.org/F4320311227,PSAU/2023/R/1445
https://doi.org/10.1002/smll.202304844,https://openalex.org/F4320321001,52173059
https://doi.org/10.1111/1744-7941.12371,https://openalex.org/F4320321001,72102189
https://doi.org/10.1080/07352166.2022.2141641,https://openalex.org/F4320321001,42101187
https://doi.org/10.1016/j.mattod.2024.09.012,https://openalex.org/F4320321001,52250217
https://doi.org/10.1016/j.mattod.2024.09.012,https://openalex.org/F4320321001,12021002
https://doi.org/10.1016/j.mattod.2024.09.012,https://openalex.org/F4320321001,12172044
https://doi.org/10.1016/j.mattod.2024.09.012,https://openalex.org/F4320327514,
https://doi.org/10.1002/adma.202407889,https://openalex.org/F4320309893,7020103
https://doi.org/10.1002/adma.202407889,https://openalex.org/F4320309893,7006007
https://doi.org/10.1002/adma.202407889,https://openalex.org/F4320309893,9610663
https://doi.org/10.1002/adma.202407889,https://openalex.org/F4320309893,9610480
