doi,oa_author_id,oa_author_position,oa_author_is_corresponding,oa_author_raw_name
https://doi.org/10.1021/jacs.1c06877,https://openalex.org/A5036721007,middle,False,Zhouyang Yin
https://doi.org/10.1021/jacs.1c06877,https://openalex.org/A5103017850,middle,False,Jing Jin
https://doi.org/10.1021/jacs.1c06877,https://openalex.org/A5077976121,middle,False,Mingzi Sun
https://doi.org/10.1021/jacs.1c06877,https://openalex.org/A5022350148,middle,True,Bolong Huang
https://doi.org/10.1021/jacs.1c06877,https://openalex.org/A5052415910,middle,False,Honghong Lin
https://doi.org/10.1021/jacs.1c06877,https://openalex.org/A5101976956,middle,False,Zhenhui Ma
https://doi.org/10.1021/jacs.1c06877,https://openalex.org/A5049551824,middle,False,Michelle Muzzio
https://doi.org/10.1021/jacs.1c06877,https://openalex.org/A5084175244,middle,False,Mengqi Shen
https://doi.org/10.1021/jacs.1c06877,https://openalex.org/A5035171783,middle,False,Chao Yu
https://doi.org/10.1021/jacs.1c06877,https://openalex.org/A5077402482,middle,False,Hong Zhang
https://doi.org/10.1021/jacs.1c06877,https://openalex.org/A5110080320,middle,False,Yong Peng
https://doi.org/10.1021/jacs.1c06877,https://openalex.org/A5013947180,middle,True,Pinxian Xi
https://doi.org/10.1021/jacs.1c06877,https://openalex.org/A5100713322,middle,False,Chun-Hua Yan
https://doi.org/10.1021/jacs.1c06877,https://openalex.org/A5065440051,last,True,Shouheng Sun
https://doi.org/10.1016/j.ijmachtools.2021.103755,https://openalex.org/A5072631669,first,False,M.W. Fu
https://doi.org/10.1016/j.ijmachtools.2021.103755,https://openalex.org/A5069043088,last,False,J.L. Wang
https://doi.org/10.1016/j.jmst.2021.01.054,https://openalex.org/A5101833215,first,False,Jie Xiong
https://doi.org/10.1016/j.jmst.2021.01.054,https://openalex.org/A5019492058,middle,True,San-Qiang Shi
https://doi.org/10.1016/j.jmst.2021.01.054,https://openalex.org/A5110650059,last,True,Tong-Yi Zhang
https://doi.org/10.1016/j.ijpe.2020.107971,https://openalex.org/A5103054999,first,True,Nelson Oly Ndubisi
https://doi.org/10.1016/j.ijpe.2020.107971,https://openalex.org/A5000948683,middle,False,Xin (Amy) Zhai
https://doi.org/10.1016/j.ijpe.2020.107971,https://openalex.org/A5036922988,last,False,Kee-hung Lai
https://doi.org/10.1016/j.ausmj.2020.03.006,https://openalex.org/A5018465758,first,True,Man Lai Cheung
https://doi.org/10.1016/j.ausmj.2020.03.006,https://openalex.org/A5080878744,middle,False,Guilherme D. Pires
https://doi.org/10.1016/j.ausmj.2020.03.006,https://openalex.org/A5048524572,middle,False,Philip J. Rosenberger
https://doi.org/10.1016/j.ausmj.2020.03.006,https://openalex.org/A5077823834,middle,False,Wilson K.S. Leung
https://doi.org/10.1016/j.ausmj.2020.03.006,https://openalex.org/A5042443633,last,False,Hiram Ting
https://doi.org/10.1007/s42765-021-00070-2,https://openalex.org/A5080146209,first,False,Fangyi Shi
https://doi.org/10.1007/s42765-021-00070-2,https://openalex.org/A5101827208,middle,False,Chunhong Chen
https://doi.org/10.1007/s42765-021-00070-2,https://openalex.org/A5033750469,last,False,Zheng-Long Xu
https://doi.org/10.2196/26821,https://openalex.org/A5052878051,first,False,Lok Y J Poon
https://doi.org/10.2196/26821,https://openalex.org/A5089204632,middle,False,Hector W H Tsang
https://doi.org/10.2196/26821,https://openalex.org/A5084208911,middle,False,Tsan Y J Chan
https://doi.org/10.2196/26821,https://openalex.org/A5039433126,middle,False,Sze W T Man
