doi,oa_funder_id,oa_award_id
https://doi.org/10.1002/tal.1816,https://openalex.org/F4320315254,51538003
https://doi.org/10.1002/tal.1816,https://openalex.org/F4320321543,2019M651291
https://doi.org/10.1002/tal.1816,https://openalex.org/F4320335777,2016YFC0701102
https://doi.org/10.1007/s10853-020-05401-z,https://openalex.org/F4320321001,51701171
https://doi.org/10.1007/s10853-020-05401-z,https://openalex.org/F4320321001,11174030
https://doi.org/10.1007/s10064-020-01976-8,https://openalex.org/F4320321001,51608399
https://doi.org/10.1016/j.apacoust.2020.107633,https://openalex.org/F4320322598,G-YBDL
https://doi.org/10.1111/obr.13052,https://openalex.org/F4320321001,81872641
https://doi.org/10.1007/s10896-020-00179-9,https://openalex.org/F4320335869,17CSH076
https://doi.org/10.1177/1475921720929749,https://openalex.org/F4320321001,51875492
https://doi.org/10.1177/1475921720929749,https://openalex.org/F4320321592,15212417
https://doi.org/10.1080/07373937.2020.1752229,https://openalex.org/F4320321001,
https://doi.org/10.1080/07373937.2020.1752229,https://openalex.org/F4320323086,7
https://doi.org/10.1080/14766825.2020.1752223,https://openalex.org/F4320326962,FRG-17-029-FHTM
https://doi.org/10.1080/17517575.2019.1698772,https://openalex.org/F4320317136,Grant[JCYJ20160531191837793
https://doi.org/10.1080/17517575.2019.1698772,https://openalex.org/F4320317136,KQJSCX201707261040333
https://doi.org/10.1177/1528083719886054,https://openalex.org/F4320321001,11702062
https://doi.org/10.1177/1528083719886054,https://openalex.org/F4320335787,16D110120
https://doi.org/10.1177/1528083719886054,https://openalex.org/F4320336366,101-07-0053036
https://doi.org/10.1137/20m1355690,https://openalex.org/F4320321001,11901016
https://doi.org/10.1137/20m1355690,https://openalex.org/F4320321592,15304420
https://doi.org/10.1137/20m1355690,https://openalex.org/F4320324787,Shuonan Wu
https://doi.org/10.1002/aesr.202000087,https://openalex.org/F4320321001,NSFC 21771156
https://doi.org/10.1109/iedm19574.2021.9720551,https://openalex.org/F4320335777,2019YFB2205100
https://doi.org/10.3390/ijerph182312403,https://openalex.org/F4320323291,COVID190216
https://doi.org/10.1029/2021gl094931,https://openalex.org/F4320321001,41773065
https://doi.org/10.1029/2021gl094931,https://openalex.org/F4320321001,41941002
https://doi.org/10.1029/2021gl094931,https://openalex.org/F4320321001,41902317
https://doi.org/10.1029/2021gl094931,https://openalex.org/F4320321543,2019M650319
https://doi.org/10.1109/tmag.2021.3095590,https://openalex.org/F4320321592,PolyU PolyU152180/19E
https://doi.org/10.1109/tmag.2021.3095590,https://openalex.org/F4320321592,PolyU152185/18E
https://doi.org/10.1109/tmag.2021.3095590,https://openalex.org/F4320326691,EERI_KF2020012
https://doi.org/10.1007/s00158-021-03058-z,https://openalex.org/F4320322598,P0031564
https://doi.org/10.1007/s10589-021-00315-1,https://openalex.org/F4320321001,11971138
https://doi.org/10.1007/s10589-021-00315-1,https://openalex.org/F4320321001,11661007
https://doi.org/10.1109/access.2021.3106953,https://openalex.org/F4320321001,U1934209
https://doi.org/10.1109/access.2021.3106953,https://openalex.org/F4320321592,R-5020-18
https://doi.org/10.1109/access.2021.3106953,https://openalex.org/F4320321920,K-BBY1
https://doi.org/10.1109/access.2021.3106953,https://openalex.org/F4320324310,2019WGALH17
https://doi.org/10.1109/access.2021.3106953,https://openalex.org/F4320324310,2019WGALH15
https://doi.org/10.1016/j.jgar.2021.05.022,https://openalex.org/F4320335777,2018YFD0500300
https://doi.org/10.1016/j.tre.2021.102427,https://openalex.org/F4320321001,71922007
https://doi.org/10.1016/j.tre.2021.102427,https://openalex.org/F4320321001,72071173
https://doi.org/10.1016/j.tre.2021.102427,https://openalex.org/F4320321001,71831008
https://doi.org/10.1016/j.tre.2021.102427,https://openalex.org/F4320321001,71771050
https://doi.org/10.1016/j.tre.2021.102427,https://openalex.org/F4320321106,
https://doi.org/10.1016/j.tre.2021.102427,https://openalex.org/F4320335982,20YJAZH083
https://doi.org/10.1016/j.enbuild.2021.111174,https://openalex.org/F4320321001,51778234
https://doi.org/10.1016/j.enbuild.2021.111174,https://openalex.org/F4320321592,PolyU 152163/18E
https://doi.org/10.1016/j.enbuild.2021.111174,https://openalex.org/F4320321921,2020A1515010762
https://doi.org/10.1016/j.enbuild.2021.111174,https://openalex.org/F4320321921,2017A020216024
https://doi.org/10.1016/j.enbuild.2021.111174,https://openalex.org/F4320322598,
https://doi.org/10.1002/bit.27883,https://openalex.org/F4320321592,PolyU 15212319
