doi,year,cited_by_count
https://doi.org/10.1016/j.measurement.2024.115439,2025,4
https://doi.org/10.1016/j.measurement.2024.115439,2024,2
https://doi.org/10.1080/10447318.2023.2301253,2024,7
https://doi.org/10.1109/tevc.2023.3349250,2024,9
https://doi.org/10.1080/17405904.2023.2289448,2025,3
https://doi.org/10.1080/17405904.2023.2289448,2024,4
https://doi.org/10.1080/01434632.2023.2230184,2025,3
https://doi.org/10.1080/01434632.2023.2230184,2024,3
https://doi.org/10.1080/01434632.2023.2230184,2023,1
https://doi.org/10.1080/07352166.2023.2208757,2025,3
https://doi.org/10.1080/07352166.2023.2208757,2024,6
https://doi.org/10.1080/07352166.2023.2208757,2023,1
https://doi.org/10.1016/j.iot.2024.101387,2025,3
https://doi.org/10.1016/j.iot.2024.101387,2024,3
https://doi.org/10.1177/10963480241229237,2024,4
https://doi.org/10.1109/tnnls.2024.3371781,2025,4
https://doi.org/10.1109/tnnls.2024.3371781,2024,2
https://doi.org/10.1080/02508281.2023.2196488,2025,3
https://doi.org/10.1080/02508281.2023.2196488,2024,4
https://doi.org/10.1016/j.jbiomech.2025.112517,2025,3
https://doi.org/10.1016/j.istruc.2025.108224,2025,4
https://doi.org/10.1038/s41467-024-55414-4,2025,3
https://doi.org/10.1016/j.engstruct.2024.119405,2025,4
https://doi.org/10.1016/j.ejon.2024.102708,2025,5
https://doi.org/10.1016/j.ejon.2024.102708,2024,1
https://doi.org/10.1016/j.tws.2024.112681,2025,5
https://doi.org/10.1016/j.tws.2024.112681,2024,1
https://doi.org/10.1038/s44160-024-00672-9,2025,5
https://doi.org/10.1038/s44160-024-00672-9,2024,1
https://doi.org/10.1016/j.compgeo.2024.106849,2025,4
https://doi.org/10.1016/j.compgeo.2024.106849,2024,1
https://doi.org/10.1016/j.apenergy.2024.124704,2025,3
https://doi.org/10.1016/j.apenergy.2024.124704,2024,2
https://doi.org/10.1007/s40820-024-01511-4,2025,3
https://doi.org/10.1007/s40820-024-01511-4,2024,3
https://doi.org/10.1016/j.ymssp.2024.111921,2025,2
https://doi.org/10.1016/j.ymssp.2024.111921,2024,4
https://doi.org/10.1080/14708477.2024.2326110,2025,2
https://doi.org/10.1080/14708477.2024.2326110,2024,2
https://doi.org/10.1177/10963480231156079,2025,3
https://doi.org/10.1177/10963480231156079,2024,4
https://doi.org/10.1177/10963480231156079,2023,2
https://doi.org/10.1080/03088839.2023.2224816,2025,1
https://doi.org/10.1080/03088839.2023.2224816,2024,5
https://doi.org/10.1080/03088839.2023.2224816,2023,2
https://doi.org/10.1080/15435075.2021.2010085,2025,1
https://doi.org/10.1080/15435075.2021.2010085,2024,2
https://doi.org/10.1080/15435075.2021.2010085,2023,2
https://doi.org/10.1080/15435075.2021.2010085,2022,2
https://doi.org/10.1080/13675567.2023.2167958,2024,5
https://doi.org/10.1080/13675567.2023.2167958,2023,4
https://doi.org/10.1109/tase.2024.3437747,2025,2
https://doi.org/10.1177/00472875231219634,2025,2
https://doi.org/10.1177/00472875231219634,2024,5
https://doi.org/10.1177/23998083241261750,2025,2
https://doi.org/10.1177/23998083241261750,2024,4
https://doi.org/10.1057/s41278-024-00291-3,2025,1
https://doi.org/10.1057/s41278-024-00291-3,2024,4
https://doi.org/10.1109/tnnls.2024.3373809,2025,2
https://doi.org/10.1109/tnnls.2024.3373809,2024,2
https://doi.org/10.1109/tnnls.2024.3373809,2023,1
https://doi.org/10.1007/s12583-024-0123-z,2025,5
https://doi.org/10.1016/j.nanoen.2025.110746,2025,1
https://doi.org/10.1016/j.conbuildmat.2025.140185,2025,1
https://doi.org/10.1016/j.energy.2025.134642,2025,2
https://doi.org/10.1016/j.probengmech.2025.103731,2025,4
https://doi.org/10.1109/tem.2024.3525105,2025,1
https://doi.org/10.1016/j.ensm.2025.104008,2025,1
https://doi.org/10.1016/j.cclet.2024.110429,2025,3
https://doi.org/10.1016/j.engstruct.2025.119642,2025,4
https://doi.org/10.1016/j.asoc.2024.112583,2025,3
https://doi.org/10.1016/j.asoc.2024.112583,2024,1
https://doi.org/10.1016/j.inffus.2024.102810,2025,1
https://doi.org/10.1016/j.seppur.2024.130803,2025,4
https://doi.org/10.1016/j.bios.2024.116963,2025,3
https://doi.org/10.1016/j.bios.2024.116963,2024,1
https://doi.org/10.1016/j.cemconres.2024.107737,2025,4
https://doi.org/10.1016/j.cemconres.2024.107737,2024,1
https://doi.org/10.1002/adma.202413270,2025,4
https://doi.org/10.1016/j.jechem.2024.10.018,2025,3
https://doi.org/10.1016/j.applthermaleng.2024.124874,2025,4
https://doi.org/10.1016/j.applthermaleng.2024.124874,2024,1
https://doi.org/10.1111/ejed.12824,2025,2
https://doi.org/10.1111/ejed.12824,2024,1
https://doi.org/10.1002/anie.202414777,2025,3
https://doi.org/10.1016/j.eswa.2024.125582,2025,3
https://doi.org/10.1016/j.engstruct.2024.119247,2025,2
https://doi.org/10.1016/j.engstruct.2024.119247,2024,2
https://doi.org/10.1016/j.jpowsour.2024.235685,2025,2
https://doi.org/10.1016/j.apcatb.2024.124765,2025,4
https://doi.org/10.1016/j.apcatb.2024.124765,2024,1
https://doi.org/10.1016/j.compstruct.2024.118662,2025,4
https://doi.org/10.1016/j.compstruct.2024.118662,2024,1
https://doi.org/10.1016/j.jcis.2024.10.073,2025,3
https://doi.org/10.1016/j.jcis.2024.10.073,2024,1
https://doi.org/10.1016/j.ccr.2024.216268,2025,1
https://doi.org/10.1016/j.ccr.2024.216268,2024,1
https://doi.org/10.1016/j.pmatsci.2024.101382,2025,1
https://doi.org/10.1016/j.pmatsci.2024.101382,2024,3
https://doi.org/10.1002/adfm.202412902,2025,5
https://doi.org/10.1016/j.tourman.2024.105022,2025,3
https://doi.org/10.1016/j.tourman.2024.105022,2024,1
https://doi.org/10.1016/j.cam.2024.116185,2025,2
https://doi.org/10.1016/j.cam.2024.116185,2024,5
https://doi.org/10.1016/j.inffus.2024.102597,2025,1
https://doi.org/10.1016/j.inffus.2024.102597,2024,2
https://doi.org/10.1016/j.jmat.2024.01.005,2025,1
https://doi.org/10.1016/j.jmat.2024.01.005,2024,2
https://doi.org/10.1177/10963480241258084,2025,1
https://doi.org/10.1177/10963480241258084,2024,3
https://doi.org/10.1002/adhm.202401309,2025,2
https://doi.org/10.1002/adhm.202401309,2024,2
https://doi.org/10.1109/tase.2024.3370053,2025,1
https://doi.org/10.1109/tase.2024.3370053,2024,2
https://doi.org/10.1108/tr-12-2023-0842,2025,2
https://doi.org/10.1108/tr-12-2023-0842,2024,3
https://doi.org/10.1109/tnnls.2023.3330975,2024,3
https://doi.org/10.1109/tnnls.2023.3327386,2024,5
https://doi.org/10.1109/tnnls.2023.3327386,2023,2
https://doi.org/10.1109/tnnls.2023.3327386,2022,1
https://doi.org/10.1080/23249935.2023.2239377,2025,1
https://doi.org/10.1080/23249935.2023.2239377,2024,5
https://doi.org/10.1080/23249935.2023.2239377,2023,1
https://doi.org/10.1080/02188791.2022.2082379,2025,1
https://doi.org/10.1080/02188791.2022.2082379,2024,4
https://doi.org/10.1080/02188791.2022.2082379,2023,4
https://doi.org/10.1080/02188791.2022.2082379,2022,1
https://doi.org/10.1108/sasbe-09-2023-0276,2025,3
https://doi.org/10.1108/sasbe-09-2023-0276,2024,4
