doi,oa_author_id,oa_author_position,oa_author_is_corresponding,oa_author_raw_name
https://doi.org/10.1016/j.enbenv.2020.06.008,https://openalex.org/A5063390452,first,False,Mingke Hu
https://doi.org/10.1016/j.enbenv.2020.06.008,https://openalex.org/A5003483382,middle,False,None Suhendri
https://doi.org/10.1016/j.enbenv.2020.06.008,https://openalex.org/A5091400324,middle,False,Bin Zhao
https://doi.org/10.1016/j.enbenv.2020.06.008,https://openalex.org/A5070050062,middle,False,Xianze Ao
https://doi.org/10.1016/j.enbenv.2020.06.008,https://openalex.org/A5040352780,middle,False,Jingyu Cao
https://doi.org/10.1016/j.enbenv.2020.06.008,https://openalex.org/A5062089193,middle,False,Qiliang Wang
https://doi.org/10.1016/j.enbenv.2020.06.008,https://openalex.org/A5045281225,middle,False,Saffa Riffat
https://doi.org/10.1016/j.enbenv.2020.06.008,https://openalex.org/A5085942279,middle,True,Yuehong Su
https://doi.org/10.1016/j.enbenv.2020.06.008,https://openalex.org/A5019671286,last,True,Gang Pei
https://doi.org/10.3390/ijerph18168444,https://openalex.org/A5075862666,first,False,Chun Sing Lam
https://doi.org/10.3390/ijerph18168444,https://openalex.org/A5012573235,middle,False,Branda Yee-Man Yu
https://doi.org/10.3390/ijerph18168444,https://openalex.org/A5053754557,middle,False,Denise Shuk Ting Cheung
https://doi.org/10.3390/ijerph18168444,https://openalex.org/A5088416718,middle,False,Teris Cheung
https://doi.org/10.3390/ijerph18168444,https://openalex.org/A5086028785,middle,False,Simon Ching Lam
https://doi.org/10.3390/ijerph18168444,https://openalex.org/A5028911078,middle,False,Ka-Fai Chung
https://doi.org/10.3390/ijerph18168444,https://openalex.org/A5089920460,middle,False,Fiona Yan-Yee Ho
https://doi.org/10.3390/ijerph18168444,https://openalex.org/A5021287314,last,True,Wing-Fai Yeung
https://doi.org/10.1016/j.jobe.2021.102975,https://openalex.org/A5047315296,first,False,Yu-Hsuan Juan
https://doi.org/10.1016/j.jobe.2021.102975,https://openalex.org/A5038976027,middle,False,Chih-Yung Wen
https://doi.org/10.1016/j.jobe.2021.102975,https://openalex.org/A5030402584,middle,False,Zhengtong Li
https://doi.org/10.1016/j.jobe.2021.102975,https://openalex.org/A5113633565,last,False,An-Shik Yang
https://doi.org/10.1016/j.jbankfin.2021.106274,https://openalex.org/A5100760193,first,False,Yangyang Chen
https://doi.org/10.1016/j.jbankfin.2021.106274,https://openalex.org/A5029439630,middle,False,Iftekhar Hasan
https://doi.org/10.1016/j.jbankfin.2021.106274,https://openalex.org/A5040046355,middle,True,Walid Saffar
https://doi.org/10.1016/j.jbankfin.2021.106274,https://openalex.org/A5057845769,last,False,Leon Zolotoy
https://doi.org/10.3390/ijerph18158162,https://openalex.org/A5082340630,first,False,Xiaoqin Zhu
https://doi.org/10.3390/ijerph18158162,https://openalex.org/A5029129567,middle,True,Daniel T. L. Shek
https://doi.org/10.3390/ijerph18158162,https://openalex.org/A5019223669,last,False,Cathy H. M. Chan
https://doi.org/10.1016/j.eswa.2021.115627,https://openalex.org/A5054994988,first,False,Mesfin S. Ibrahim
https://doi.org/10.1016/j.eswa.2021.115627,https://openalex.org/A5102863250,middle,False,Zhou Jing
https://doi.org/10.1016/j.eswa.2021.115627,https://openalex.org/A5020146275,middle,False,Winco K.C. Yung
https://doi.org/10.1016/j.eswa.2021.115627,https://openalex.org/A5066887582,last,False,Jiajie Fan
https://doi.org/10.1016/j.amjmed.2021.05.002,https://openalex.org/A5112362691,first,False,Wing Chung Lam
https://doi.org/10.1016/j.amjmed.2021.05.002,https://openalex.org/A5027288289,middle,False,Kwok Yin Au
https://doi.org/10.1016/j.amjmed.2021.05.002,https://openalex.org/A5050087112,middle,False,Zongshi Qin
https://doi.org/10.1016/j.amjmed.2021.05.002,https://openalex.org/A5108113503,middle,False,Fung Man Wu
https://doi.org/10.1016/j.amjmed.2021.05.002,https://openalex.org/A5007514734,middle,False,Chiu On Chong
https://doi.org/10.1016/j.amjmed.2021.05.002,https://openalex.org/A5020503194,middle,False,Fei Jiang
https://doi.org/10.1016/j.amjmed.2021.05.002,https://openalex.org/A5103230604,middle,False,Yue He
https://doi.org/10.1016/j.amjmed.2021.05.002,https://openalex.org/A5069477054,middle,False,Bacon Fung Leung Ng
https://doi.org/10.1016/j.amjmed.2021.05.002,https://openalex.org/A5021287314,middle,False,Wing-Fai Yeung
https://doi.org/10.1016/j.amjmed.2021.05.002,https://openalex.org/A5015198590,middle,False,Lixing Lao
https://doi.org/10.1016/j.amjmed.2021.05.002,https://openalex.org/A5089644877,last,True,Haiyong Chen
https://doi.org/10.1016/j.wasman.2021.07.007,https://openalex.org/A5062631705,first,True,Xiefei Zhu
https://doi.org/10.1016/j.wasman.2021.07.007,https://openalex.org/A5109466352,middle,False,Zejun Luo
https://doi.org/10.1016/j.wasman.2021.07.007,https://openalex.org/A5110052043,last,True,Xifeng Zhu
https://doi.org/10.1016/j.jpeds.2021.06.017,https://openalex.org/A5027650838,first,False,Suey S.Y. Yeung
https://doi.org/10.1016/j.jpeds.2021.06.017,https://openalex.org/A5012987629,middle,False,Ruth Chan
https://doi.org/10.1016/j.jpeds.2021.06.017,https://openalex.org/A5003394549,middle,False,Liz Li
https://doi.org/10.1016/j.jpeds.2021.06.017,https://openalex.org/A5057352324,middle,False,Dorothy Chan
https://doi.org/10.1016/j.jpeds.2021.06.017,https://openalex.org/A5066637374,middle,False,Jason Leung
https://doi.org/10.1016/j.jpeds.2021.06.017,https://openalex.org/A5103948126,last,False,Ting-fan Leung
https://doi.org/10.1016/j.bios.2021.113412,https://openalex.org/A5088943310,first,False,Junchen Liao
https://doi.org/10.1016/j.bios.2021.113412,https://openalex.org/A5056883972,middle,False,Jifeng Ren
https://doi.org/10.1016/j.bios.2021.113412,https://openalex.org/A5083707395,middle,False,Huang Wei
https://doi.org/10.1016/j.bios.2021.113412,https://openalex.org/A5058078911,middle,False,Raymond H.W. Lam
https://doi.org/10.1016/j.bios.2021.113412,https://openalex.org/A5073756466,middle,True,Song Lin Chua
https://doi.org/10.1016/j.bios.2021.113412,https://openalex.org/A5039828232,last,True,Bee Luan Khoo
https://doi.org/10.3389/feduc.2021.660376,https://openalex.org/A5068569721,first,True,Kevin Chan
https://doi.org/10.3389/feduc.2021.660376,https://openalex.org/A5003230735,middle,False,Kelvin Wan
https://doi.org/10.3389/feduc.2021.660376,https://openalex.org/A5014561206,last,False,Vivian King
https://doi.org/10.1016/j.ijpe.2021.108204,https://openalex.org/A5101923891,first,False,Yang Peng
https://doi.org/10.1016/j.ijpe.2021.108204,https://openalex.org/A5103010940,middle,False,Xiaoming Yan
https://doi.org/10.1016/j.ijpe.2021.108204,https://openalex.org/A5101476540,middle,False,Yujie Jiang
https://doi.org/10.1016/j.ijpe.2021.108204,https://openalex.org/A5061679901,middle,False,Min Ji
https://doi.org/10.1016/j.ijpe.2021.108204,https://openalex.org/A5032676950,last,False,T.C.E. Cheng
https://doi.org/10.1016/j.tourman.2021.104384,https://openalex.org/A5064114701,first,False,Peng Luo
https://doi.org/10.1016/j.tourman.2021.104384,https://openalex.org/A5108641539,middle,False,Xiumei Ma
https://doi.org/10.1016/j.tourman.2021.104384,https://openalex.org/A5087821002,middle,True,Xiaofei Zhang
https://doi.org/10.1016/j.tourman.2021.104384,https://openalex.org/A5100425108,middle,False,Jianwei Liu
https://doi.org/10.1016/j.tourman.2021.104384,https://openalex.org/A5100302443,last,False,Huiwen He
https://doi.org/10.1016/j.cclet.2021.05.013,https://openalex.org/A5028029252,first,False,Zixing Guan
https://doi.org/10.1016/j.cclet.2021.05.013,https://openalex.org/A5005823164,middle,False,Kaixiang Zou
https://doi.org/10.1016/j.cclet.2021.05.013,https://openalex.org/A5102017110,middle,False,Xiao Wang
https://doi.org/10.1016/j.cclet.2021.05.013,https://openalex.org/A5019477992,middle,True,Yuanfu Deng
https://doi.org/10.1016/j.cclet.2021.05.013,https://openalex.org/A5100713949,last,False,Guohua Chen
https://doi.org/10.1016/j.ijnurstu.2021.103951,https://openalex.org/A5100451738,first,False,Xiao Xiao
https://doi.org/10.1016/j.ijnurstu.2021.103951,https://openalex.org/A5086956741,last,True,Alice Yuen Loke
https://doi.org/10.1016/j.cirp.2021.04.064,https://openalex.org/A5042881351,first,False,Zhiwei Zhu
https://doi.org/10.1016/j.cirp.2021.04.064,https://openalex.org/A5100379158,middle,False,Li Chen
https://doi.org/10.1016/j.cirp.2021.04.064,https://openalex.org/A5069264939,last,False,Suet To
https://doi.org/10.3390/su13105741,https://openalex.org/A5065281428,first,False,Muhammad Junaid Munir
https://doi.org/10.3390/su13105741,https://openalex.org/A5047042938,middle,False,Syed Minhaj Saleem Kazmi
https://doi.org/10.3390/su13105741,https://openalex.org/A5035870404,middle,True,Yu-Fei Wu
https://doi.org/10.3390/su13105741,https://openalex.org/A5018068424,middle,False,Xiaoshan Lin
https://doi.org/10.3390/su13105741,https://openalex.org/A5073277576,last,False,Muhammad Riaz Ahmad
https://doi.org/10.1016/j.habitatint.2021.102373,https://openalex.org/A5008646977,first,True,Fan Zhang
https://doi.org/10.1016/j.habitatint.2021.102373,https://openalex.org/A5036107396,middle,False,Albert P.C. Chan
https://doi.org/10.1016/j.habitatint.2021.102373,https://openalex.org/A5087105095,middle,False,Amos Darko
https://doi.org/10.1016/j.habitatint.2021.102373,https://openalex.org/A5100647880,last,False,Dezhi Li
https://doi.org/10.1016/j.jhepr.2020.100223,https://openalex.org/A5018820218,first,False,Jeffrey C. To
https://doi.org/10.1016/j.jhepr.2020.100223,https://openalex.org/A5023595978,middle,False,Amy P. Chiu
https://doi.org/10.1016/j.jhepr.2020.100223,https://openalex.org/A5089238214,middle,False,Barbara R. Tschida
https://doi.org/10.1016/j.jhepr.2020.100223,https://openalex.org/A5091288942,middle,False,Lilian H. Lo
https://doi.org/10.1016/j.jhepr.2020.100223,https://openalex.org/A5038067126,middle,False,Cynthia H. Chiu
https://doi.org/10.1016/j.jhepr.2020.100223,https://openalex.org/A5112437648,middle,False,Xiao-Xiao Li
https://doi.org/10.1016/j.jhepr.2020.100223,https://openalex.org/A5044964945,middle,False,Timothy P. Kuka
https://doi.org/10.1016/j.jhepr.2020.100223,https://openalex.org/A5018113041,middle,False,Michael A. Linden
https://doi.org/10.1016/j.jhepr.2020.100223,https://openalex.org/A5007034802,middle,False,Khalid Amin
https://doi.org/10.1016/j.jhepr.2020.100223,https://openalex.org/A5112319392,middle,False,Wing-Cheung Chan
https://doi.org/10.1016/j.jhepr.2020.100223,https://openalex.org/A5063827272,middle,False,Jason B. Bell
https://doi.org/10.1016/j.jhepr.2020.100223,https://openalex.org/A5022057184,middle,False,Branden S. Moriarity
https://doi.org/10.1016/j.jhepr.2020.100223,https://openalex.org/A5005626540,middle,True,David A. Largaespada
https://doi.org/10.1016/j.jhepr.2020.100223,https://openalex.org/A5036163281,last,True,Vincent W. Keng
https://doi.org/10.1016/j.childyouth.2021.106071,https://openalex.org/A5082340630,first,False,Xiaoqin Zhu
https://doi.org/10.1016/j.childyouth.2021.106071,https://openalex.org/A5029129567,last,True,Daniel TL Shek
https://doi.org/10.1007/s12221-021-0878-0,https://openalex.org/A5074794049,first,False,Yue Sun
https://doi.org/10.1007/s12221-021-0878-0,https://openalex.org/A5018378567,middle,False,Kit-lun Yick
https://doi.org/10.1007/s12221-021-0878-0,https://openalex.org/A5103801489,middle,False,Yiqing Cai
https://doi.org/10.1007/s12221-021-0878-0,https://openalex.org/A5070415411,middle,False,Winnie Yu
https://doi.org/10.1007/s12221-021-0878-0,https://openalex.org/A5042209984,middle,False,Lihua Chen
https://doi.org/10.1007/s12221-021-0878-0,https://openalex.org/A5018907573,middle,False,Newman Lau
https://doi.org/10.1007/s12221-021-0878-0,https://openalex.org/A5101466030,last,False,Shichen Zhang
https://doi.org/10.3390/app11094283,https://openalex.org/A5100425373,first,False,Long Li
https://doi.org/10.3390/app11094283,https://openalex.org/A5016478210,middle,False,Dongxing Xuan
https://doi.org/10.3390/app11094283,https://openalex.org/A5080970906,last,True,Chi Sun Poon
https://doi.org/10.1016/j.engstruct.2021.112435,https://openalex.org/A5007987726,first,False,Yancheng Cai
https://doi.org/10.1016/j.engstruct.2021.112435,https://openalex.org/A5085888398,last,True,Albert K.H. Kwan
https://doi.org/10.1109/tgrs.2020.3017761,https://openalex.org/A5041556763,first,False,Yangzhao Gong
https://doi.org/10.1109/tgrs.2020.3017761,https://openalex.org/A5042517863,last,False,Zhizhao Liu
https://doi.org/10.1002/jtr.2453,https://openalex.org/A5030434922,first,False,Haiyan Song
https://doi.org/10.1002/jtr.2453,https://openalex.org/A5057439268,middle,False,Anyu Liu
https://doi.org/10.1002/jtr.2453,https://openalex.org/A5067403267,middle,True,Gang Li
https://doi.org/10.1002/jtr.2453,https://openalex.org/A5100625900,last,False,Xinyang Liu
https://doi.org/10.1016/j.tre.2021.102306,https://openalex.org/A5090214563,first,False,Shiyuan Zheng
https://doi.org/10.1016/j.tre.2021.102306,https://openalex.org/A5022417659,middle,True,Changmin Jiang
https://doi.org/10.1016/j.tre.2021.102306,https://openalex.org/A5051277728,last,False,Xiaowen Fu
https://doi.org/10.1016/j.apacoust.2021.108045,https://openalex.org/A5030981251,first,False,Xuejiao Xing
https://doi.org/10.1016/j.apacoust.2021.108045,https://openalex.org/A5100338802,middle,False,Heng Li
https://doi.org/10.1016/j.apacoust.2021.108045,https://openalex.org/A5113147593,middle,True,Botao Zhong
https://doi.org/10.1016/j.apacoust.2021.108045,https://openalex.org/A5027251267,middle,False,Luting Qiu
https://doi.org/10.1016/j.apacoust.2021.108045,https://openalex.org/A5101633471,middle,False,Hanbin Luo
https://doi.org/10.1016/j.apacoust.2021.108045,https://openalex.org/A5108270423,middle,False,Qunzhou Yu
https://doi.org/10.1016/j.apacoust.2021.108045,https://openalex.org/A5109496917,middle,False,Jun Hou
https://doi.org/10.1016/j.apacoust.2021.108045,https://openalex.org/A5100383607,last,False,Lang Li
https://doi.org/10.1016/j.engstruct.2021.112228,https://openalex.org/A5058838634,first,True,Yi Zhou
https://doi.org/10.1016/j.engstruct.2021.112228,https://openalex.org/A5100670072,middle,True,Yong Xia
https://doi.org/10.1016/j.engstruct.2021.112228,https://openalex.org/A5055278415,middle,False,Yozo Fujino
https://doi.org/10.1016/j.engstruct.2021.112228,https://openalex.org/A5029259830,last,False,Kazunori Yamaguchi
https://doi.org/10.1016/j.scs.2021.102854,https://openalex.org/A5005504270,first,True,Hing Yan Tong
https://doi.org/10.1016/j.scs.2021.102854,https://openalex.org/A5112618572,last,False,KaWai Ng
https://doi.org/10.3390/rs13040814,https://openalex.org/A5016736958,first,True,Yasmine Megahed
https://doi.org/10.3390/rs13040814,https://openalex.org/A5022818145,middle,False,Ahmed Shaker
https://doi.org/10.3390/rs13040814,https://openalex.org/A5070456429,last,False,Wai Yeung Yan
https://doi.org/10.1016/j.coco.2021.100635,https://openalex.org/A5102220966,first,False,Dongmei Lin
https://doi.org/10.1016/j.coco.2021.100635,https://openalex.org/A5059464981,middle,False,Kaikai Li
https://doi.org/10.1016/j.coco.2021.100635,https://openalex.org/A5031001368,last,True,Limin Zhou
https://doi.org/10.1016/j.aei.2021.101277,https://openalex.org/A5002806662,first,False,Wen Yi
https://doi.org/10.1016/j.aei.2021.101277,https://openalex.org/A5054183265,middle,False,Monty Sutrisna
https://doi.org/10.1016/j.aei.2021.101277,https://openalex.org/A5070050188,last,True,Hans Wang
https://doi.org/10.1007/s11482-021-09928-4,https://openalex.org/A5002395684,first,True,Cynthia Leung
https://doi.org/10.1007/s11482-021-09928-4,https://openalex.org/A5073851562,middle,False,Janet T. Y. Leung
https://doi.org/10.1007/s11482-021-09928-4,https://openalex.org/A5029843362,middle,False,Sylvia Y. C. L. Kwok
https://doi.org/10.1007/s11482-021-09928-4,https://openalex.org/A5008188551,middle,False,Anna Hui
https://doi.org/10.1007/s11482-021-09928-4,https://openalex.org/A5050822296,middle,False,Herman Lo
https://doi.org/10.1007/s11482-021-09928-4,https://openalex.org/A5108796460,middle,False,H. L. Tam
https://doi.org/10.1007/s11482-021-09928-4,https://openalex.org/A5087988793,last,False,Simon Lai
https://doi.org/10.1109/tsp.2021.3057488,https://openalex.org/A5032469622,first,False,Zifeng Huang
https://doi.org/10.1109/tsp.2021.3057488,https://openalex.org/A5087467271,last,False,You-Lin Xu
https://doi.org/10.1016/j.micromeso.2021.110944,https://openalex.org/A5038896768,first,False,Yohannes L. Yaphary
https://doi.org/10.1016/j.micromeso.2021.110944,https://openalex.org/A5029267981,middle,False,Florence Sanchez
https://doi.org/10.1016/j.micromeso.2021.110944,https://openalex.org/A5023555752,middle,False,Denvid Lau
https://doi.org/10.1016/j.micromeso.2021.110944,https://openalex.org/A5080970906,last,True,Chi Sun Poon
https://doi.org/10.1016/j.surfin.2021.100995,https://openalex.org/A5017073335,first,False,Xueyan Bian
https://doi.org/10.1016/j.surfin.2021.100995,https://openalex.org/A5057160617,middle,False,Jiangtao Xu
https://doi.org/10.1016/j.surfin.2021.100995,https://openalex.org/A5047400958,middle,False,Jing Yang
https://doi.org/10.1016/j.surfin.2021.100995,https://openalex.org/A5110742185,middle,False,Ka-lam Chiu
https://doi.org/10.1016/j.surfin.2021.100995,https://openalex.org/A5108822063,last,True,Shouxiang Jiang
https://doi.org/10.1007/s12187-020-09797-7,https://openalex.org/A5027620959,first,False,Zheng Zhou
