doi,oa_funder_id,oa_award_id
https://doi.org/10.1109/tits.2021.3056415,https://openalex.org/F4320321001,N_HKUST627/18
https://doi.org/10.1109/tits.2021.3056415,https://openalex.org/F4320321592,HKUST16208619
https://doi.org/10.1109/tits.2021.3056415,https://openalex.org/F4320323537,
https://doi.org/10.1016/j.eneco.2022.106418,https://openalex.org/F4320327557,
https://doi.org/10.1016/j.eneco.2022.106418,https://openalex.org/F4320335869,20VGQ003
https://doi.org/10.1002/pssb.202200324,https://openalex.org/F4320321019,N_PolyU516/20
https://doi.org/10.1016/j.canlet.2022.215925,https://openalex.org/F4320321592,
https://doi.org/10.1016/j.canlet.2022.215925,https://openalex.org/F4320322942,
https://doi.org/10.1007/s42765-022-00185-0,https://openalex.org/F4320321001,51773094
https://doi.org/10.1007/s42765-022-00185-0,https://openalex.org/F4320321001,U1533122
https://doi.org/10.1007/s42765-022-00185-0,https://openalex.org/F4320321001,51973093
https://doi.org/10.1007/s42765-022-00185-0,https://openalex.org/F4320323021,63181206
https://doi.org/10.1007/s42765-022-00185-0,https://openalex.org/F4320335787,63171219
https://doi.org/10.1007/s42765-022-00185-0,https://openalex.org/F4320336823,18JCJQJC46600
https://doi.org/10.1145/3477495.3531897,https://openalex.org/F4320321001,"U1636211, 61672081,61370126,61906075,61932010"
https://doi.org/10.1145/3477495.3531897,https://openalex.org/F4320321921,2019A1515011920
https://doi.org/10.1016/j.jag.2022.102800,https://openalex.org/F4320321001,42171291
https://doi.org/10.1016/j.jag.2022.102800,https://openalex.org/F4320321133,XDA19030104
https://doi.org/10.1016/j.jag.2022.102800,https://openalex.org/F4320321133,XDA19090121
https://doi.org/10.1016/j.jag.2022.102800,https://openalex.org/F4320327827,ZDYF2020192
https://doi.org/10.1109/tgrs.2022.3186993,https://openalex.org/F4320323537,FSUST20-SHCIRI06C
https://doi.org/10.1109/tgrs.2022.3186993,https://openalex.org/F4320329699,2020AG002
https://doi.org/10.1109/tgrs.2022.3186993,https://openalex.org/F4320337111,2020A0505090008
https://doi.org/10.1103/physrevb.105.224303,https://openalex.org/F4320335795,2017A050506053
https://doi.org/10.1016/j.rser.2022.112404,https://openalex.org/F4320322598,
https://doi.org/10.1016/j.rser.2022.112404,https://openalex.org/F4320327181,P0033880
https://doi.org/10.1002/adhm.202102610,https://openalex.org/F4320320955,# 21.4531.162640
https://doi.org/10.1007/s11482-022-10040-4,https://openalex.org/F4320322598,1.7Q.XX.8B01
https://doi.org/10.1021/acsami.1c21173,https://openalex.org/F4320321001,31771077
https://doi.org/10.1021/acsami.1c21173,https://openalex.org/F4320321592,C5110-20GF
https://doi.org/10.1109/jetcas.2022.3143716,https://openalex.org/F4320321001,51777159
https://doi.org/10.1109/jetcas.2022.3143716,https://openalex.org/F4320335787,xzy022019035
https://doi.org/10.1016/j.conbuildmat.2022.126376,https://openalex.org/F4320321630,
https://doi.org/10.1016/j.conbuildmat.2022.126376,https://openalex.org/F4320334627,EP/S005560/1
https://doi.org/10.1109/tsmc.2021.3131312,https://openalex.org/F4320321001,61876162
https://doi.org/10.1109/tsmc.2021.3131312,https://openalex.org/F4320321001,61806130
https://doi.org/10.1109/tsmc.2021.3131312,https://openalex.org/F4320321001,61876110
https://doi.org/10.1109/tsmc.2021.3131312,https://openalex.org/F4320321592,PolyU11202418
https://doi.org/10.1109/tsmc.2021.3131312,https://openalex.org/F4320321592,PolyU11209219
https://doi.org/10.1016/j.autcon.2021.104103,https://openalex.org/F4320321202,
https://doi.org/10.1016/j.autcon.2021.104103,https://openalex.org/F4320322030,NRF-2020R1A4A4078916
https://doi.org/10.1016/j.autcon.2021.104103,https://openalex.org/F4320322120,
https://doi.org/10.1016/j.partic.2021.10.006,https://openalex.org/F4320335880,2021zzts0247
https://doi.org/10.1007/s12525-021-00488-x,https://openalex.org/F4320321001,71871074
https://doi.org/10.1007/s12525-021-00488-x,https://openalex.org/F4320321001,71871073
https://doi.org/10.1007/s12525-021-00488-x,https://openalex.org/F4320321001,72071054
https://doi.org/10.1007/s12525-021-00488-x,https://openalex.org/F4320321001,71531007
https://doi.org/10.1109/tgrs.2021.3080384,https://openalex.org/F4320321001,41801306
https://doi.org/10.1109/tgrs.2021.3080384,https://openalex.org/F4320321001,42022060
https://doi.org/10.1109/tgrs.2021.3080384,https://openalex.org/F4320321001,U1711267
https://doi.org/10.1109/tgrs.2021.3080384,https://openalex.org/F4320335777,2019YFB2102903
https://doi.org/10.1002/smm2.1067,https://openalex.org/F4320321001,21905253
https://doi.org/10.1002/smm2.1067,https://openalex.org/F4320321001,51973200
https://doi.org/10.1002/smm2.1067,https://openalex.org/F4320321001,92061201
https://doi.org/10.1002/smm2.1067,https://openalex.org/F4320321543,2018M640681
https://doi.org/10.1002/smm2.1067,https://openalex.org/F4320321543,2019T120632
https://doi.org/10.1002/smm2.1067,https://openalex.org/F4320323845,202300410372
https://doi.org/10.1016/j.aei.2022.101792,https://openalex.org/F4320321001,51705030
https://doi.org/10.1016/j.aei.2022.101792,https://openalex.org/F4320321525,
https://doi.org/10.1016/j.aei.2022.101792,https://openalex.org/F4320321543,2021M700528
https://doi.org/10.1016/j.aei.2022.101792,https://openalex.org/F4320321592,PolyU 15210222
https://doi.org/10.1016/j.aei.2022.101792,https://openalex.org/F4320328119,300102250201
https://doi.org/10.1016/j.aei.2022.101792,https://openalex.org/F4320335787,
https://doi.org/10.1016/j.aei.2022.101792,https://openalex.org/F4320335882,
https://doi.org/10.1109/cvpr52688.2022.01137,https://openalex.org/F4320321001,61973221
https://doi.org/10.1002/anie.202203836,https://openalex.org/F4320321001,21972010
https://doi.org/10.1002/anie.202203836,https://openalex.org/F4320322120,NRF-2019M3D1A1079303
https://doi.org/10.1002/anie.202203836,https://openalex.org/F4320322919,2192039
https://doi.org/10.1016/j.rser.2022.112717,https://openalex.org/F4320321001,52078353
https://doi.org/10.1016/j.rser.2022.112717,https://openalex.org/F4320321592,T22-504/21R
https://doi.org/10.1016/j.rser.2022.112717,https://openalex.org/F4320328119,
https://doi.org/10.1016/j.rser.2022.112717,https://openalex.org/F4320335787,
https://doi.org/10.1016/j.engstruct.2022.114475,https://openalex.org/F4320321001,51820105013
https://doi.org/10.1016/j.engstruct.2022.114475,https://openalex.org/F4320321001,52078359
https://doi.org/10.1016/j.engstruct.2022.114475,https://openalex.org/F4320321001,51778456
https://doi.org/10.1016/j.engstruct.2022.114475,https://openalex.org/F4320327803,20QA1409400
https://doi.org/10.1016/j.engstruct.2022.114475,https://openalex.org/F4320335787,
https://doi.org/10.1103/physrevapplied.17.044013,https://openalex.org/F4320320879,ZH 15/27–1
https://doi.org/10.1103/physrevapplied.17.044013,https://openalex.org/F4320321001,11991031
https://doi.org/10.1103/physrevapplied.17.044013,https://openalex.org/F4320321001,11902171
https://doi.org/10.1103/physrevapplied.17.044013,https://openalex.org/F4320321001,11802012
https://doi.org/10.1103/physrevapplied.17.044013,https://openalex.org/F4320321001,12021002
https://doi.org/10.1103/physrevapplied.17.044013,https://openalex.org/F4320321001,11972246
https://doi.org/10.1103/physrevapplied.17.044013,https://openalex.org/F4320321001,12172044
https://doi.org/10.1103/physrevapplied.17.044013,https://openalex.org/F4320327514,
https://doi.org/10.1111/poms.13701,https://openalex.org/F4320321001,72071191
https://doi.org/10.1111/poms.13701,https://openalex.org/F4320321001,71671170
https://doi.org/10.1016/j.orgel.2022.106515,https://openalex.org/F4320336405,
https://doi.org/10.1016/j.applthermaleng.2022.118454,https://openalex.org/F4320321592,
