oa_author_id,oa_author_name,oa_author_orcid
https://openalex.org/A5042456237,Xinmao Yin,https://orcid.org/0000-0002-8246-4444
https://openalex.org/A5033833560,Hao Fu,https://orcid.org/0000-0003-0653-3134
https://openalex.org/A5086038073,Yuxin Shi,https://orcid.org/0009-0007-8010-9207
https://openalex.org/A5001122871,Huijun Sun,https://orcid.org/0000-0002-3989-7391
https://openalex.org/A5103015340,Ziyou Gao,https://orcid.org/0000-0002-9575-6905
https://openalex.org/A5037692904,Liping Zhou,https://orcid.org/0000-0002-9941-7812
https://openalex.org/A5101193960,Ka Ying Wong,
https://openalex.org/A5001255730,Hongxiang Xie,https://orcid.org/0000-0001-6737-0493
https://openalex.org/A5029674834,Qingsong Xiong,https://orcid.org/0000-0003-0942-9690
https://openalex.org/A5113970464,Haibei Xiong,
https://openalex.org/A5088242275,Cheng Yuan,https://orcid.org/0000-0002-3926-6098
https://openalex.org/A5100755334,Jiawei Chen,https://orcid.org/0000-0001-8074-2706
https://openalex.org/A5019690302,Qingzhao Kong,https://orcid.org/0000-0001-9577-4540
https://openalex.org/A5101353477,Xiangru Cui,
https://openalex.org/A5061283111,Jiajian Chen,https://orcid.org/0000-0001-9994-6354
https://openalex.org/A5100427940,Ting Wang,https://orcid.org/0000-0002-4619-9575
https://openalex.org/A5008381455,Zihao Wang,https://orcid.org/0000-0003-4035-1684
https://openalex.org/A5023023644,Jie Zhang,https://orcid.org/0000-0001-7821-4808
https://openalex.org/A5017215321,Cristina Salvador,https://orcid.org/0000-0002-6836-2126
https://openalex.org/A5078006617,Sandra Idrovo Carlier,https://orcid.org/0000-0003-0922-4994
https://openalex.org/A5054939534,Keiko Ishii,https://orcid.org/0000-0003-0581-8138
https://openalex.org/A5017934181,Carolina Torres Castillo,https://orcid.org/0000-0003-3333-6216
https://openalex.org/A5079459000,Kevin Nanakdewa,
https://openalex.org/A5081199455,Fernanda Canale,https://orcid.org/0000-0003-0854-0522
https://openalex.org/A5089015140,Álvaro San Martín,https://orcid.org/0000-0001-7168-3214
https://openalex.org/A5025375729,Shinobu Kitayama,https://orcid.org/0000-0001-9147-7936
https://openalex.org/A5007276255,Xianliang Liu,https://orcid.org/0000-0002-3296-5339
https://openalex.org/A5018815482,Bo Peng,https://orcid.org/0000-0001-5656-2115
https://openalex.org/A5100453450,Tao Wang,https://orcid.org/0000-0001-9845-3988
https://openalex.org/A5044796264,Li-Qun Yao,
https://openalex.org/A5068497968,Silin Zheng,https://orcid.org/0000-0002-7758-8194
https://openalex.org/A5025187088,Jing‐Yu Tan,https://orcid.org/0000-0002-1609-6890
https://openalex.org/A5061647382,Houqiang Huang,https://orcid.org/0000-0002-8839-7780
https://openalex.org/A5100443418,Mingyang Li,https://orcid.org/0000-0002-4235-0573
https://openalex.org/A5100392460,Yadong Wang,https://orcid.org/0000-0003-2067-382X
https://openalex.org/A5034701745,Siqiang Wang,https://orcid.org/0000-0001-9361-7197
https://openalex.org/A5000346152,Esther H.K. Yung,https://orcid.org/0000-0003-0028-9062
https://openalex.org/A5076284212,Peiheng Yu,https://orcid.org/0000-0002-8774-535X
https://openalex.org/A5069412870,Jin Yeu Tsou,https://orcid.org/0000-0002-7682-4327
https://openalex.org/A5102018431,Yifan Yu,https://orcid.org/0000-0002-7564-4965
https://openalex.org/A5110363440,Xinge Jia,
https://openalex.org/A5080608745,Hua Zhong,https://orcid.org/0000-0003-2955-5029
https://openalex.org/A5100391154,Qian Wang,https://orcid.org/0000-0003-2319-6969
https://openalex.org/A5045296460,Qiaobing Wu,https://orcid.org/0000-0003-4844-2011
https://openalex.org/A5112581057,Shengyou Wang,
https://openalex.org/A5114734428,Yuan Li,https://orcid.org/0009-0004-0703-3291
https://openalex.org/A5101959797,Chunfu Shao,https://orcid.org/0000-0002-8047-6898
https://openalex.org/A5104253918,Aixi Wang,
https://openalex.org/A5018936404,Zi-Nan Wu,
https://openalex.org/A5108236666,Xiaolei Han,
https://openalex.org/A5101668294,Jing Ji,https://orcid.org/0000-0001-8165-1582
https://openalex.org/A5104342067,Jing-Cong Lin,
https://openalex.org/A5082735319,Junxian Shen,https://orcid.org/0000-0001-9872-9788
