oa_author_id,oa_author_name,oa_author_orcid
https://openalex.org/A5039792994,Yiye Liu,https://orcid.org/0000-0003-0966-9985
https://openalex.org/A5021135076,Yangxin Yu,https://orcid.org/0000-0002-9106-4733
https://openalex.org/A5064264675,Peng Cao,https://orcid.org/0000-0002-1116-1171
https://openalex.org/A5077972068,Henry Ka‐Fung Mak,https://orcid.org/0000-0002-2007-0650
https://openalex.org/A5005410701,Edward S. Hui,https://orcid.org/0000-0002-1761-0169
https://openalex.org/A5041177918,Hideki Kikumoto,https://orcid.org/0000-0003-3709-4517
https://openalex.org/A5012246099,Mengxue Lu,
https://openalex.org/A5103172558,Jinlong Zhao,https://orcid.org/0000-0002-1251-7125
https://openalex.org/A5045592930,Xingjiang Li,https://orcid.org/0000-0002-5455-8240
https://openalex.org/A5100390069,Jianping Zhang,https://orcid.org/0000-0002-0956-9987
https://openalex.org/A5101566881,Hong Huang,https://orcid.org/0000-0003-4643-5985
https://openalex.org/A5027689634,Meiting Guo,https://orcid.org/0000-0002-1497-7053
https://openalex.org/A5100341079,Nan Li,https://orcid.org/0000-0002-8148-1891
https://openalex.org/A5091432796,Jiaxiang Xiao,
https://openalex.org/A5101900030,Xiaoyu Ma,https://orcid.org/0000-0001-5252-5923
https://openalex.org/A5101617647,Lijuan Huang,https://orcid.org/0000-0001-9202-0102
https://openalex.org/A5100402299,Hongyu Li,https://orcid.org/0000-0002-4949-9581
https://openalex.org/A5080320229,Chao Xie,https://orcid.org/0000-0002-3042-8409
https://openalex.org/A5066276881,Yahui Yang,
https://openalex.org/A5020732750,Hao Jiang,https://orcid.org/0000-0002-5278-8587
https://openalex.org/A5056693482,Waleed Umer,https://orcid.org/0000-0003-2419-4172
https://openalex.org/A5100460539,Jie Ma,https://orcid.org/0000-0002-0827-3842
https://openalex.org/A5000507990,M. Saad Shakeel,https://orcid.org/0000-0003-3729-2409
https://openalex.org/A5107917068,S. Tariq,https://orcid.org/0000-0002-5957-1874
https://openalex.org/A5072460544,T. A. D. K. Jayasanka,https://orcid.org/0000-0003-3066-6252
https://openalex.org/A5055611312,Farzad Jalaei,https://orcid.org/0000-0002-3365-5818
https://openalex.org/A5100607607,Lina Yu,https://orcid.org/0000-0003-1342-2969
https://openalex.org/A5113141057,Kuan Xiong,
https://openalex.org/A5030425830,Xifeng Gao,https://orcid.org/0000-0002-0580-6893
https://openalex.org/A5100382224,Zhi Li,https://orcid.org/0000-0001-6380-8996
https://openalex.org/A5102629220,Li-long Fan,
https://openalex.org/A5100323895,Kai Zhang,https://orcid.org/0000-0001-7371-9954
https://openalex.org/A5039487533,Yidan Shangguan,https://orcid.org/0009-0002-4085-9533
https://openalex.org/A5007780595,King-Wah Pang,https://orcid.org/0000-0002-0909-6753
https://openalex.org/A5101568942,Yao Ma,https://orcid.org/0000-0002-4985-8724
https://openalex.org/A5086096995,Yuting Min,
https://openalex.org/A5039450674,Lina Wang,
https://openalex.org/A5032523009,Salman Tariq,https://orcid.org/0000-0003-4532-8803
https://openalex.org/A5006678325,I. A. Tijani,https://orcid.org/0000-0002-9423-1074
https://openalex.org/A5064205759,Harris K. H. Fan,https://orcid.org/0000-0001-5470-4829
https://openalex.org/A5100422057,Rui Zhang,https://orcid.org/0000-0002-5433-7616
https://openalex.org/A5074618055,Jinjin Wu,https://orcid.org/0000-0003-0643-0899
https://openalex.org/A5003551290,Renfeng Jiang,
https://openalex.org/A5102591570,Shi-Nuo Liu,
https://openalex.org/A5035974059,Pu Liu,https://orcid.org/0000-0002-2899-1948
https://openalex.org/A5022318108,Xiu-Cheng Zheng,https://orcid.org/0000-0001-8062-9404
https://openalex.org/A5101919436,Mingze Zhang,https://orcid.org/0000-0002-5142-6074
https://openalex.org/A5074362818,Tangrong Wang,https://orcid.org/0000-0002-2785-1476
https://openalex.org/A5005515990,Peng‐Hui Lyu,https://orcid.org/0000-0001-5765-6885
https://openalex.org/A5104247260,Qi-Mei Chen,
https://openalex.org/A5111133503,Ze-Xia Li,https://orcid.org/0000-0001-7749-4094
https://openalex.org/A5100437308,Zeshui Xu,https://orcid.org/0000-0003-3547-2908
https://openalex.org/A5008225300,Xinxin Wang,https://orcid.org/0000-0002-4255-5106
https://openalex.org/A5076081413,Marinko Škare,https://orcid.org/0000-0001-6426-3692
https://openalex.org/A5100673237,Jiaming Huang,https://orcid.org/0000-0002-9752-8607
https://openalex.org/A5100324458,Juyoung Lee,https://orcid.org/0000-0001-6201-8722
https://openalex.org/A5046485145,Pratima Bansal,https://orcid.org/0000-0002-7899-9622
https://openalex.org/A5114137488,Meilian Huang,
https://openalex.org/A5114126571,Yuanxiong Ma,
https://openalex.org/A5002696909,Jin Qian,https://orcid.org/0000-0002-9368-387X
https://openalex.org/A5003221928,Caoqi Zhang,
https://openalex.org/A5109683158,James Kar Hei Fang,
https://openalex.org/A5023958460,Xiaowan Ma,https://orcid.org/0000-0002-9457-1263
https://openalex.org/A5045196837,Marcello Urgo,https://orcid.org/0000-0002-0341-9208
https://openalex.org/A5079558740,Francesco Berardinucci,https://orcid.org/0000-0001-6820-3099
https://openalex.org/A5002609101,Junjie Gong,
https://openalex.org/A5101443346,Bin Huang,https://orcid.org/0000-0002-2443-7085
https://openalex.org/A5100617885,Yafeng Wang,https://orcid.org/0000-0002-2241-8155
https://openalex.org/A5053677291,Xian Luo,https://orcid.org/0000-0001-9089-3508
https://openalex.org/A5015856483,Rui Hu,https://orcid.org/0000-0002-5742-0669
https://openalex.org/A5101297970,Yuran Bai,
https://openalex.org/A5112126964,Yong Tang,https://orcid.org/0000-0002-6558-6730
https://openalex.org/A5100398357,Zhichao Wang,https://orcid.org/0000-0001-6662-835X
https://openalex.org/A5013272400,Jinzhi Zhou,https://orcid.org/0000-0003-0676-1663
https://openalex.org/A5101523395,Chao Zeng,https://orcid.org/0000-0002-5896-0675
https://openalex.org/A5108940642,Weihua Lyu,
https://openalex.org/A5100603165,Yanping Yuan,https://orcid.org/0000-0001-8254-6223
https://openalex.org/A5038635839,Shouguo Peng,https://orcid.org/0000-0002-5864-8163
https://openalex.org/A5103181694,Jin‐Kyu Park,https://orcid.org/0000-0001-8751-9814
https://openalex.org/A5008489158,Chengbo Ai,https://orcid.org/0000-0002-3536-9348
https://openalex.org/A5067748980,Wenjuan Wang,https://orcid.org/0000-0002-9500-2505
https://openalex.org/A5017052151,Lichang Wang,https://orcid.org/0009-0004-3232-092X
https://openalex.org/A5100919819,Jingwen Wu,
https://openalex.org/A5060125264,Fengli Chen,
https://openalex.org/A5012892619,Yongbo Peng,https://orcid.org/0000-0002-8110-8536
https://openalex.org/A5093544702,Maria D.C. Hernandez Obando,
https://openalex.org/A5011966611,Suwadee Talawanich,https://orcid.org/0000-0002-8827-7578
https://openalex.org/A5014427099,Arinya Pongwat,https://orcid.org/0000-0003-4548-0880
https://openalex.org/A5100315961,Jinwu Li,
https://openalex.org/A5100609329,Xinyang Deng,https://orcid.org/0000-0001-8181-7001
https://openalex.org/A5041289658,Wen Jiang,https://orcid.org/0000-0001-5429-2748
https://openalex.org/A5089216253,Chao Jiang,https://orcid.org/0000-0001-5421-9671
https://openalex.org/A5020684720,Ville Paananen,https://orcid.org/0000-0001-7377-9770
https://openalex.org/A5052219877,Mohammad Sina Kiarostami,https://orcid.org/0000-0002-6100-6567
https://openalex.org/A5056354484,Tristan Braud,https://orcid.org/0000-0002-9571-0544
https://openalex.org/A5067689431,Simo Hosio,https://orcid.org/0000-0002-9609-0965
https://openalex.org/A5113917820,Qian Hu,
https://openalex.org/A5009664810,Wencong Su,https://orcid.org/0000-0003-1482-3078
https://openalex.org/A5038764115,Vladimir Terzija,https://orcid.org/0000-0002-6538-6982
https://openalex.org/A5076244257,King Hei Stanley Lam,https://orcid.org/0000-0003-1392-829X
https://openalex.org/A5068371109,Sichao Liu,https://orcid.org/0000-0002-1909-0507
https://openalex.org/A5044957460,Shiquan Ling,
https://openalex.org/A5020623968,Yongliang She,
https://openalex.org/A5100399429,Jingyi Li,https://orcid.org/0000-0001-9763-500X
https://openalex.org/A5034915450,Momei Qin,https://orcid.org/0000-0003-2583-6878
https://openalex.org/A5077426132,Xiaodong Xie,https://orcid.org/0000-0002-7747-5819
https://openalex.org/A5010019319,Kangjia Gong,
https://openalex.org/A5041638196,Fei Ye,https://orcid.org/0000-0002-5653-0428
https://openalex.org/A5110850814,Jianjiong Mao,
https://openalex.org/A5021079454,Lin Huang,https://orcid.org/0000-0002-8200-4632
https://openalex.org/A5073941796,Jianlin Hu,https://orcid.org/0000-0002-5694-4794
https://openalex.org/A5006937297,Junfan Wang,https://orcid.org/0000-0002-1695-5931
https://openalex.org/A5000521431,Siwei Chang,https://orcid.org/0000-0003-4234-6707
https://openalex.org/A5088621214,Binbin Huo,https://orcid.org/0000-0002-0455-847X
https://openalex.org/A5022081968,Bingheng Li,
https://openalex.org/A5022634984,Dinusha Serandi Gunawardena,https://orcid.org/0000-0002-7097-0059
https://openalex.org/A5053086866,Chern Yang Leong,https://orcid.org/0000-0003-0622-1042
